title,url,date
Jabar Hari Ini: Pemotor Terkapar di Bandung-Warga Tutup Tol Padaleunyi,https://news.detik.com/berita-jawa-barat/d-4960338/jabar-hari-ini-pemotor-terkapar-di-bandung-warga-tutup-tol-padaleunyi,"
Selasa, 31 Mar 2020 20:21 WIB "
"Hujan Deras, Sejumlah Titik di Kota Bandung Terendam Banjir",https://news.detik.com/berita-jawa-barat/d-4958985/hujan-deras-sejumlah-titik-di-kota-bandung-terendam-banjir,"
Senin, 30 Mar 2020 20:50 WIB "
"Diduga Terseret Arus Saat BAB, Seorang Pria Tewas di Banjir Kanal Barat Jakbar",https://news.detik.com/berita/d-4957299/diduga-terseret-arus-saat-bab-seorang-pria-tewas-di-banjir-kanal-barat-jakbar,"
Minggu, 29 Mar 2020 13:58 WIB "
"BMKG: Waspada Potensi Cuaca Ekstrem, Masyarakat Diimbau Tetap Fit",https://news.detik.com/berita/d-4956800/bmkg-waspada-potensi-cuaca-ekstrem-masyarakat-diimbau-tetap-fit,"
Sabtu, 28 Mar 2020 18:20 WIB "
Kisah Keluarga yang Bertahan Sendirian di Tengah Desa yang Tenggelam,https://news.detik.com/bbc-world/d-4954860/kisah-keluarga-yang-bertahan-sendirian-di-tengah-desa-yang-tenggelam,"
Jumat, 27 Mar 2020 09:07 WIB "
"Pesisir Indonesia Terancam Tenggelam, Puluhan Juta Jiwa Akan Terdampak",https://news.detik.com/bbc-world/d-4953609/pesisir-indonesia-terancam-tenggelam-puluhan-juta-jiwa-akan-terdampak,"
Kamis, 26 Mar 2020 11:04 WIB "
Banjir Kecaman Tes Corona 2.000 Anggota DPR dan Keluarga,https://news.detik.com/berita/d-4951007/banjir-kecaman-tes-corona-2-000-anggota-dpr-dan-keluarga,"
Selasa, 24 Mar 2020 09:53 WIB "
Komisi A DPRD Sebut Pemprov DKI Setuju Anggarkan Rp 183 M untuk Corona,https://news.detik.com/berita/d-4950586/komisi-a-dprd-sebut-pemprov-dki-setuju-anggarkan-rp-183-m-untuk-corona,"
Senin, 23 Mar 2020 19:43 WIB "
"Hujan Deras, Perumahan di Kalideres Jakbar Banjir 40 Cm",https://news.detik.com/berita/d-4948728/hujan-deras-perumahan-di-kalideres-jakbar-banjir-40-cm,"
Minggu, 22 Mar 2020 10:47 WIB "
"Curah Hujan Tinggi, 7 RW di Jakarta Terendam Banjir",https://news.detik.com/berita/d-4947337/curah-hujan-tinggi-7-rw-di-jakarta-terendam-banjir,"
Jumat, 20 Mar 2020 17:06 WIB "
Kementan Pastikan Bantuan Benih Padi untuk Petani Indramayu,https://news.detik.com/berita/d-4947169/kementan-pastikan-bantuan-benih-padi-untuk-petani-indramayu,"
Jumat, 20 Mar 2020 15:35 WIB "
"Tenggelam 3 Hari Lalu Saat Berenang di KBB, Remaja Ditemukan Tewas",https://news.detik.com/berita/d-4943687/tenggelam-3-hari-lalu-saat-berenang-di-kbb-remaja-ditemukan-tewas,"
Rabu, 18 Mar 2020 10:36 WIB "
"Hujan Deras, Sejumlah Desa di Pesawaran Lampung Banjir",https://news.detik.com/berita/d-4941880/hujan-deras-sejumlah-desa-di-pesawaran-lampung-banjir,"
Selasa, 17 Mar 2020 01:48 WIB "
"Curah Hujan di Jakarta-Maluku Meningkat, Warga Diminta Waspadai Banjir",https://news.detik.com/berita/d-4941764/curah-hujan-di-jakarta-maluku-meningkat-warga-diminta-waspadai-banjir,"
Senin, 16 Mar 2020 21:08 WIB "
Survei Cyrus: Ahok Jadi Gubernur DKI Paling Baik dalam Penanganan Banjir,https://news.detik.com/berita/d-4938011/survei-cyrus-ahok-jadi-gubernur-dki-paling-baik-dalam-penanganan-banjir,"
Jumat, 13 Mar 2020 17:05 WIB "
F-PD DPRD DKI Minta Data KRL Riskan Terkontaminasi Corona Ditindaklanjuti,https://news.detik.com/berita/d-4935606/f-pd-dprd-dki-minta-data-krl-riskan-terkontaminasi-corona-ditindaklanjuti,"
Kamis, 12 Mar 2020 11:14 WIB "
