title,url,date
Ini Kaleidoskop Bencana 2021 dan Persiapan BNPB di 2022,https://news.detik.com/berita/d-5878618/ini-kaleidoskop-bencana-2021-dan-persiapan-bnpb-di-2022,"
Jumat, 31 Des 2021 15:32 WIB "
"Libur Tahun Baru, Pendakian Gunung Ciremai Via Linggarjati Sepi",https://news.detik.com/berita-jawa-barat/d-5878608/libur-tahun-baru-pendakian-gunung-ciremai-via-linggarjati-sepi,"
Jumat, 31 Des 2021 15:25 WIB "
Detik-detik Gunung Semeru Kembali Muntahkan Awan Panas,https://news.detik.com/berita/d-5878410/detik-detik-gunung-semeru-kembali-muntahkan-awan-panas,"
Jumat, 31 Des 2021 13:28 WIB "
"Jelang Pergantian Tahun, Semeru Kembali Luncurkan Awan Panas Sejauh 5 KM",https://news.detik.com/berita-jawa-timur/d-5878230/jelang-pergantian-tahun-semeru-kembali-luncurkan-awan-panas-sejauh-5-km,"
Jumat, 31 Des 2021 11:54 WIB "
"Ingat, Malam Ini Jembatan Suramadu Ditutup Mulai Pukul 9 Malam",https://news.detik.com/berita-jawa-timur/d-5878215/ingat-malam-ini-jembatan-suramadu-ditutup-mulai-pukul-9-malam,"
Jumat, 31 Des 2021 11:43 WIB "
Peristiwa Pilu Erupsi Gunung Semeru di Penghujung Tahun 2021,https://news.detik.com/berita-jawa-timur/d-5877972/peristiwa-pilu-erupsi-gunung-semeru-di-penghujung-tahun-2021,"
Jumat, 31 Des 2021 08:55 WIB "
Razia Vaksin di Batas Kota Sidoarjo Digelar Antisipasi Masuknya Omicron,https://news.detik.com/berita-jawa-timur/d-5877771/razia-vaksin-di-batas-kota-sidoarjo-digelar-antisipasi-masuknya-omicron,"
Kamis, 30 Des 2021 20:47 WIB "
Jenazah Ayah dan Anak Korban Erupsi Semeru Ditemukan di Truk yang Terkubur,https://news.detik.com/berita-jawa-timur/d-5877372/jenazah-ayah-dan-anak-korban-erupsi-semeru-ditemukan-di-truk-yang-terkubur,"
Kamis, 30 Des 2021 18:20 WIB "
Simak Titik Penyekatan Malam Tahun Baru di Kota Malang,https://news.detik.com/berita-jawa-timur/d-5876499/simak-titik-penyekatan-malam-tahun-baru-di-kota-malang,"
Kamis, 30 Des 2021 10:37 WIB "
"Relawan Semeru Tewas dalam Kecelakaan di Tol Pasuruan, Sopir Diduga Ngantuk",https://news.detik.com/berita-jawa-timur/d-5876145/relawan-semeru-tewas-dalam-kecelakaan-di-tol-pasuruan-sopir-diduga-ngantuk,"
Rabu, 29 Des 2021 21:57 WIB "
Lima Jenazah Korban Erupsi Semeru Berhasil Diidentifikasi,https://news.detik.com/berita-jawa-timur/d-5876118/lima-jenazah-korban-erupsi-semeru-berhasil-diidentifikasi,"
Rabu, 29 Des 2021 21:29 WIB "
Polisi Sosialisasi Penutupan Alun-alun Sidoarjo di Malam Tahun Baru,https://news.detik.com/berita-jawa-timur/d-5875913/polisi-sosialisasi-penutupan-alun-alun-sidoarjo-di-malam-tahun-baru,"
Rabu, 29 Des 2021 17:13 WIB "
Keseruan Pengungsi Semeru Gelar Lomba Masak Peringati Hari Ibu,https://news.detik.com/berita-jawa-timur/d-5875538/keseruan-pengungsi-semeru-gelar-lomba-masak-peringati-hari-ibu,"
Rabu, 29 Des 2021 15:46 WIB "
"Mobil Relawan Semeru Kecelakaan di Tol Pasuruan, Satu Orang Meninggal",https://news.detik.com/berita-jawa-timur/d-5875245/mobil-relawan-semeru-kecelakaan-di-tol-pasuruan-satu-orang-meninggal,"
Rabu, 29 Des 2021 13:11 WIB "
ITS Gagas Konsep Hybrid untuk Relokasi Hunian Warga Semeru,https://news.detik.com/berita-jawa-timur/d-5875204/its-gagas-konsep-hybrid-untuk-relokasi-hunian-warga-semeru,"
Rabu, 29 Des 2021 12:50 WIB "
LG Gelar Aksi Peduli untuk Warga Terdampak Erupsi Gunung Semeru,https://news.detik.com/adv-nhl-detikcom/d-5874956/lg-gelar-aksi-peduli-untuk-warga-terdampak-erupsi-gunung-semeru,"
Rabu, 29 Des 2021 00:00 WIB "
"Mempertanyakan ""Pooling Fund"" Bencana",https://news.detik.com/kolom/d-5873480/mempertanyakan-pooling-fund-bencana,"
Selasa, 28 Des 2021 13:15 WIB "
"Bareskrim Selidiki Penyebab Harga Cabai Rawit Meroket, Ini Hasilnya",https://news.detik.com/berita/d-5873592/bareskrim-selidiki-penyebab-harga-cabai-rawit-meroket-ini-hasilnya,"
Selasa, 28 Des 2021 12:16 WIB "
Bakamla Kirim Kendaraan Berisi Bantuan ke Korban Erupsi Semeru di Lumajang,https://news.detik.com/berita/d-5873204/bakamla-kirim-kendaraan-berisi-bantuan-ke-korban-erupsi-semeru-di-lumajang,"
Selasa, 28 Des 2021 03:42 WIB "
Aksi Kapolres Lamongan Turun Tangani Kecelakaan di Gresik Curi Hati Warga,https://news.detik.com/berita-jawa-timur/d-5873142/aksi-kapolres-lamongan-turun-tangani-kecelakaan-di-gresik-curi-hati-warga,"
Senin, 27 Des 2021 23:09 WIB "
Banyak Monyet Turun Gunung Usai Semeru Erupsi,https://news.detik.com/berita-jawa-timur/d-5872557/banyak-monyet-turun-gunung-usai-semeru-erupsi,"
Senin, 27 Des 2021 16:07 WIB "
"Bertema Frozen dan Iglo, Pospam Nataru di Kota Malang Jadi Spot Foto Menarik",https://news.detik.com/berita-jawa-timur/d-5872488/bertema-frozen-dan-iglo-pospam-nataru-di-kota-malang-jadi-spot-foto-menarik,"
Senin, 27 Des 2021 15:32 WIB "
"Gunung Semeru Masih Siaga, PVMBG Ingatkan Jarak Aman 5 KM dari Kawah",https://news.detik.com/berita-jawa-timur/d-5871934/gunung-semeru-masih-siaga-pvmbg-ingatkan-jarak-aman-5-km-dari-kawah,"
Senin, 27 Des 2021 09:33 WIB "
Jembatan Suramadu Akan Ditutup Pada Malam Tahun Baru,https://news.detik.com/berita-jawa-timur/d-5871201/jembatan-suramadu-akan-ditutup-pada-malam-tahun-baru,"
Minggu, 26 Des 2021 15:18 WIB "
"Semeru Masih Siaga, Jarak Aman Tetap 13 Km",https://news.detik.com/berita-jawa-timur/d-5870922/semeru-masih-siaga-jarak-aman-tetap-13-km,"
Minggu, 26 Des 2021 10:52 WIB "
Makna dan Harapan Natal 2021 Bagi Korban Erupsi Semeru,https://news.detik.com/berita-jawa-timur/d-5870332/makna-dan-harapan-natal-2021-bagi-korban-erupsi-semeru,"
Sabtu, 25 Des 2021 16:16 WIB "
"Semeru Masih Siaga, Status Tanggap Darurat Sudah Berakhir",https://news.detik.com/berita-jawa-timur/d-5870057/semeru-masih-siaga-status-tanggap-darurat-sudah-berakhir,"
Sabtu, 25 Des 2021 11:50 WIB "
Gunung Semeru Masih Berstatus Siaga,https://news.detik.com/berita-jawa-timur/d-5869993/gunung-semeru-masih-berstatus-siaga,"
Sabtu, 25 Des 2021 10:55 WIB "
Status Tanggap Darurat Erupsi Semeru Berakhir Hari Ini,https://news.detik.com/berita-jawa-timur/d-5869746/status-tanggap-darurat-erupsi-semeru-berakhir-hari-ini,"
Jumat, 24 Des 2021 23:37 WIB "
Satu Korban Semeru Ditemukan Tertimbun Abu Vulkanik,https://news.detik.com/berita-jawa-timur/d-5869687/satu-korban-semeru-ditemukan-tertimbun-abu-vulkanik,"
Jumat, 24 Des 2021 21:49 WIB "
Sopir Terminal Bayuangga Senang Dites Urine: Biar Penumpang Lebih Percaya,https://news.detik.com/berita-jawa-timur/d-5869357/sopir-terminal-bayuangga-senang-dites-urine-biar-penumpang-lebih-percaya,"
Jumat, 24 Des 2021 17:59 WIB "
Tak Ada Penyekatan Saat Nataru di Wilayah Polda Jatim,https://news.detik.com/berita-jawa-timur/d-5869188/tak-ada-penyekatan-saat-nataru-di-wilayah-polda-jatim,"
Jumat, 24 Des 2021 16:40 WIB "
"Dinilai Tak Laik Jalan, Angkutan Umum di Lamongan Ini Dipinggirkan",https://news.detik.com/berita-jawa-timur/d-5869040/dinilai-tak-laik-jalan-angkutan-umum-di-lamongan-ini-dipinggirkan,"
Jumat, 24 Des 2021 15:17 WIB "
Yonzipur 10 & 5 Kostrad Dikerahkan buat Bantu Warga Terdampak Semeru,https://news.detik.com/berita/d-5868804/yonzipur-10-5-kostrad-dikerahkan-buat-bantu-warga-terdampak-semeru,"
Jumat, 24 Des 2021 13:25 WIB "
Gunung Semeru Terpantau Cerah Berawan,https://news.detik.com/berita-jawa-timur/d-5868740/gunung-semeru-terpantau-cerah-berawan,"
Jumat, 24 Des 2021 12:24 WIB "
Nestapa Korban Semeru: Barang Dijarah Hingga Jadi Lokasi Syuting Sinetron,https://news.detik.com/berita-jawa-timur/d-5868576/nestapa-korban-semeru-barang-dijarah-hingga-jadi-lokasi-syuting-sinetron,"
Jumat, 24 Des 2021 10:26 WIB "
