title,url,date
Rekomendasi Lengkap KNKT ke Sriwijaya Air Usai Kecelakaan SJ182,https://news.detik.com/berita/d-6399065/rekomendasi-lengkap-knkt-ke-sriwijaya-air-usai-kecelakaan-sj182,"
Kamis, 10 Nov 2022 18:16 WIB "
KNKT Paparkan 6 Penyebab Jatuhnya Sriwijaya Air SJ182 di Kepulauan Seribu,https://news.detik.com/berita/d-6398784/knkt-paparkan-6-penyebab-jatuhnya-sriwijaya-air-sj182-di-kepulauan-seribu,"
Kamis, 10 Nov 2022 16:48 WIB "
3 Buka-bukaan KNKT soal Sriwijaya Air SJ182 saat Rapat di Senayan,https://news.detik.com/berita/d-6386929/3-buka-bukaan-knkt-soal-sriwijaya-air-sj182-saat-rapat-di-senayan,"
Jumat, 04 Nov 2022 07:41 WIB "
"Berselang Hampir 2 Tahun, Investigasi Jatuhnya Sriwijaya Air Terungkap",https://news.detik.com/detiktv/d-6386860/berselang-hampir-2-tahun-investigasi-jatuhnya-sriwijaya-air-terungkap,"
Jumat, 04 Nov 2022 06:09 WIB "
Dugaan di Balik Tak Terekamnya Suara Pilot Sriwijaya Air SJ182,https://news.detik.com/berita/d-6386673/dugaan-di-balik-tak-terekamnya-suara-pilot-sriwijaya-air-sj182,"
Kamis, 03 Nov 2022 22:05 WIB "
Ini Kesimpulan KNKT Investigasi Kecelakaan Sriwijaya Air SJ182,https://news.detik.com/berita/d-6385965/ini-kesimpulan-knkt-investigasi-kecelakaan-sriwijaya-air-sj182,"
Kamis, 03 Nov 2022 16:05 WIB "
"Suara Kapten Sriwijaya Air SJ182 Tak Terekam CVR, Ini Dugaan KNKT",https://news.detik.com/berita/d-6385864/suara-kapten-sriwijaya-air-sj182-tak-terekam-cvr-ini-dugaan-knkt,"
Kamis, 03 Nov 2022 15:32 WIB "
"Investigasi Kecelakaan SJ182, KNKT: Pilot Tak Sadari Perubahan di Kokpit",https://news.detik.com/berita/d-6385814/investigasi-kecelakaan-sj182-knkt-pilot-tak-sadari-perubahan-di-kokpit,"
Kamis, 03 Nov 2022 15:08 WIB "
KNKT Beberkan Investigasi Kecelakaan Sriwijaya Air SJ182 di Rapat DPR,https://news.detik.com/berita/d-6385603/knkt-beberkan-investigasi-kecelakaan-sriwijaya-air-sj182-di-rapat-dpr,"
Kamis, 03 Nov 2022 13:45 WIB "
Repatriasi Prasasti Pucangan Disebut Bagian Upaya Penanaman Nilai Bangsa,https://news.detik.com/berita/d-6292131/repatriasi-prasasti-pucangan-disebut-bagian-upaya-penanaman-nilai-bangsa,"
Rabu, 14 Sep 2022 20:57 WIB "
"Didampingi Prabowo, Ma'ruf Amin Tetapkan 2.974 Komcad TNI Tahun 2022",https://news.detik.com/berita/d-6279389/didampingi-prabowo-maruf-amin-tetapkan-2-974-komcad-tni-tahun-2022,"
Kamis, 08 Sep 2022 10:21 WIB "
Pesawat yang Ditumpangi Bamsoet Gagal Mendarat di Ambon Akibat Cuaca Buruk,https://news.detik.com/berita/d-6199422/pesawat-yang-ditumpangi-bamsoet-gagal-mendarat-di-ambon-akibat-cuaca-buruk,"
Selasa, 26 Jul 2022 13:17 WIB "
