title,url,date
Penahanan Sopir Vanessa Angel Diperpanjang 40 Hari,https://news.detik.com/berita-jawa-timur/d-5829935/penahanan-sopir-vanessa-angel-diperpanjang-40-hari,"
Sabtu, 27 Nov 2021 16:48 WIB "
"Jadi Tersangka, Sopir Vanessa Angel Pilih Dibela Pengacara Negara",https://news.detik.com/berita-jawa-timur/d-5817545/jadi-tersangka-sopir-vanessa-angel-pilih-dibela-pengacara-negara,"
Kamis, 18 Nov 2021 20:50 WIB "
"Jadi Bukti Pelengkap Penyidikan, 'Black Box' Mobil Vanessa Angel Dikirim ke ATPM",https://news.detik.com/berita-jawa-timur/d-5817505/jadi-bukti-pelengkap-penyidikan-black-box-mobil-vanessa-angel-dikirim-ke-atpm,"
Kamis, 18 Nov 2021 20:24 WIB "
Polisi Tuntaskan Berkas Perkara Kecelakaan Vanessa Angel,https://news.detik.com/berita-jawa-timur/d-5817195/polisi-tuntaskan-berkas-perkara-kecelakaan-vanessa-angel,"
Kamis, 18 Nov 2021 17:49 WIB "
Kecelakaan Fatal Itu Mengubah Hidupku,https://news.detik.com/x/detail/intermeso/20211113/Kecelakaan-Fatal-Itu-Mengubah-Hidupku/,"
Sabtu, 13 Nov 2021 09:40 WIB "
Pengakuan Mencengangkan Sopir Vanessa Angel-Nama Anak yang 19 Kata Diganti,https://news.detik.com/berita-jawa-timur/d-5809382/pengakuan-mencengangkan-sopir-vanessa-angel-nama-anak-yang-19-kata-diganti,"
Sabtu, 13 Nov 2021 08:14 WIB "
Melihat Rutan Polres Jombang Tempat Sopir Vanessa Angel Ditahan,https://news.detik.com/berita-jawa-timur/d-5808695/melihat-rutan-polres-jombang-tempat-sopir-vanessa-angel-ditahan,"
Jumat, 12 Nov 2021 17:11 WIB "
Penampakan Joddy Sopir Vanessa Angel Saat Berbaju Tahanan,https://news.detik.com/berita-jawa-timur/d-5808567/penampakan-joddy-sopir-vanessa-angel-saat-berbaju-tahanan,"
Jumat, 12 Nov 2021 16:01 WIB "
Polisi Tunggu Hasil 3 Saksi Ahli Lengkapi Berkas Kecelakaan Vanessa Angel,https://news.detik.com/berita-jawa-timur/d-5808361/polisi-tunggu-hasil-3-saksi-ahli-lengkapi-berkas-kecelakaan-vanessa-angel,"
Jumat, 12 Nov 2021 14:49 WIB "
Sopir Vanessa Angel Ditahan di Polres Jombang Campur Tersangka Lain,https://news.detik.com/berita-jawa-timur/d-5808206/sopir-vanessa-angel-ditahan-di-polres-jombang-campur-tersangka-lain,"
Jumat, 12 Nov 2021 13:35 WIB "
Pengakuan Pahit Sopir Vanessa Sempat Main HP-Melaju dengan Kecepatan 130KM,https://news.detik.com/berita-jawa-timur/d-5807902/pengakuan-pahit-sopir-vanessa-sempat-main-hp-melaju-dengan-kecepatan-130km,"
Jumat, 12 Nov 2021 10:08 WIB "
Polisi Akan Periksa Agen Tunggal Pemegang Merek Mobil Vanessa Angel,https://news.detik.com/berita-jawa-timur/d-5806996/polisi-akan-periksa-agen-tunggal-pemegang-merek-mobil-vanessa-angel,"
Kamis, 11 Nov 2021 16:35 WIB "
Polisi Sebut Joddy Sempat Main HP Beberapa Kali Sebelum Kecelakaan,https://news.detik.com/berita-jawa-timur/d-5806896/polisi-sebut-joddy-sempat-main-hp-beberapa-kali-sebelum-kecelakaan,"
Kamis, 11 Nov 2021 15:48 WIB "
Kecepatan Mobil Vanessa Angel Saat Kecelakaan 130 KM/Jam,https://news.detik.com/berita-jawa-timur/d-5806753/kecepatan-mobil-vanessa-angel-saat-kecelakaan-130-km-jam,"
Kamis, 11 Nov 2021 14:52 WIB "
Perjalanan Sopir Vanessa Angel Jadi Tersangka,https://news.detik.com/berita-jawa-timur/d-5806718/perjalanan-sopir-vanessa-angel-jadi-tersangka,"
Kamis, 11 Nov 2021 14:34 WIB "
"Sopir Vanessa Angel Tersangka, Polisi Periksa 10 Saksi",https://news.detik.com/berita-jawa-timur/d-5806687/sopir-vanessa-angel-tersangka-polisi-periksa-10-saksi,"
Kamis, 11 Nov 2021 14:15 WIB "
Alasan Polisi Jadikan Joddy Sopir Vanessa Angel Tersangka,https://news.detik.com/berita-jawa-timur/d-5806664/alasan-polisi-jadikan-joddy-sopir-vanessa-angel-tersangka,"
Kamis, 11 Nov 2021 14:01 WIB "
"Jadi Tersangka, Joddy Sopir Vanessa Angel Ditahan di Polres Jombang",https://news.detik.com/berita-jawa-timur/d-5806636/jadi-tersangka-joddy-sopir-vanessa-angel-ditahan-di-polres-jombang,"
Kamis, 11 Nov 2021 13:52 WIB "
Saat Kejaksaan Ungkap Sopir Vanessa Angel Jadi Tersangka-Diadili di Jombang,https://news.detik.com/berita-jawa-timur/d-5806228/saat-kejaksaan-ungkap-sopir-vanessa-angel-jadi-tersangka-diadili-di-jombang,"
Kamis, 11 Nov 2021 09:00 WIB "
4 Fakta Tubagus Joddy Jadi Tersangka Kecelakaan Tewaskan Vanessa Angel,https://news.detik.com/berita/d-5806117/4-fakta-tubagus-joddy-jadi-tersangka-kecelakaan-tewaskan-vanessa-angel,"
Kamis, 11 Nov 2021 06:49 WIB "
Sopir Vanessa Angel Terancam Hukuman Maksimal 6 Tahun Penjara,https://news.detik.com/berita-jawa-timur/d-5805760/sopir-vanessa-angel-terancam-hukuman-maksimal-6-tahun-penjara,"
Rabu, 10 Nov 2021 19:24 WIB "
"Sopir Vanessa Angel Tersangka, Ini Pasal yang Menjeratnya",https://news.detik.com/berita/d-5805784/sopir-vanessa-angel-tersangka-ini-pasal-yang-menjeratnya,"
Rabu, 10 Nov 2021 19:17 WIB "
"Joddy, Sopir Vanessa Angel Akan Diadili di Jombang",https://news.detik.com/berita-jawa-timur/d-5805738/joddy-sopir-vanessa-angel-akan-diadili-di-jombang,"
Rabu, 10 Nov 2021 19:03 WIB "
Tiga Jaksa Ditunjuk Tangani Kasus Kecelakaan Tewaskan Vanessa Angel-Bibi,https://news.detik.com/berita-jawa-timur/d-5805573/tiga-jaksa-ditunjuk-tangani-kasus-kecelakaan-tewaskan-vanessa-angel-bibi,"
Rabu, 10 Nov 2021 18:01 WIB "
"Sopir Vanessa Angel Jadi Tersangka, Dijerat Pasal 310 UU Lalu Lintas",https://news.detik.com/berita-jawa-timur/d-5805544/sopir-vanessa-angel-jadi-tersangka-dijerat-pasal-310-uu-lalu-lintas,"
Rabu, 10 Nov 2021 17:50 WIB "
Joddy Jadi Tersangka Tunggal Kecelakaan Tewaskan Vanessa Angel dan Bibi,https://news.detik.com/berita-jawa-timur/d-5805519/joddy-jadi-tersangka-tunggal-kecelakaan-tewaskan-vanessa-angel-dan-bibi,"
Rabu, 10 Nov 2021 17:39 WIB "
"Sopir Vanessa Angel Jadi Tersangka, Jaksa Tunggu Berkas Perkara dari Polisi",https://news.detik.com/berita-jawa-timur/d-5805479/sopir-vanessa-angel-jadi-tersangka-jaksa-tunggu-berkas-perkara-dari-polisi,"
Rabu, 10 Nov 2021 17:28 WIB "
Sopir Vanessa Angel Jadi Tersangka,https://news.detik.com/berita-jawa-timur/d-5805462/sopir-vanessa-angel-jadi-tersangka,"
Rabu, 10 Nov 2021 17:15 WIB "
"Video Ilustrasi Gala Merangkak Raih Vanessa-Bibi Bikin Haru, Ini Inspirasi yang Bikin",https://news.detik.com/berita-jawa-timur/d-5804986/video-ilustrasi-gala-merangkak-raih-vanessa-bibi-bikin-haru-ini-inspirasi-yang-bikin,"
Rabu, 10 Nov 2021 14:02 WIB "
Video Ilustrasi Gala Merangkak Raih Vanessa Angel-Bibi yang Viral Bikin Haru,https://news.detik.com/berita-jawa-timur/d-5804915/video-ilustrasi-gala-merangkak-raih-vanessa-angel-bibi-yang-viral-bikin-haru,"
Rabu, 10 Nov 2021 13:11 WIB "
Tabrak Ujung Beton Ini Bikin Mobil Vanessa Angel Terpelanting hingga Hancur,https://news.detik.com/berita-jawa-timur/d-5804728/tabrak-ujung-beton-ini-bikin-mobil-vanessa-angel-terpelanting-hingga-hancur,"
Rabu, 10 Nov 2021 11:27 WIB "
Cerita di Balik Sempat 'Hilangnya' Foto Vanessa Angel di Pusara,https://news.detik.com/berita/d-5804318/cerita-di-balik-sempat-hilangnya-foto-vanessa-angel-di-pusara,"
Selasa, 09 Nov 2021 21:03 WIB "
Jaksa Belum Terima Pemberitahuan Penyidikan Kasus Kecelakaan Vanessa Angel,https://news.detik.com/berita-jawa-timur/d-5803928/jaksa-belum-terima-pemberitahuan-penyidikan-kasus-kecelakaan-vanessa-angel,"
Selasa, 09 Nov 2021 17:22 WIB "
Pengelola Sebut Tol Tempat Kecelakaan Vanessa Angel Laik Fungsi,https://news.detik.com/berita-jawa-timur/d-5803766/pengelola-sebut-tol-tempat-kecelakaan-vanessa-angel-laik-fungsi,"
Selasa, 09 Nov 2021 16:12 WIB "
"Selain Saksi Kunci, Saksi Ahli Juga Diperiksa di Kasus Kecelakaan Vanessa Angel",https://news.detik.com/berita-jawa-timur/d-5803705/selain-saksi-kunci-saksi-ahli-juga-diperiksa-di-kasus-kecelakaan-vanessa-angel,"
Selasa, 09 Nov 2021 15:35 WIB "
Masih Ada yang Tega Bikin Konten Meninggalnya Vanessa? Dengar Pesan Sang Ayah,https://news.detik.com/berita/d-5803665/masih-ada-yang-tega-bikin-konten-meninggalnya-vanessa-dengar-pesan-sang-ayah,"
Selasa, 09 Nov 2021 15:22 WIB "
Polisi Tepis Penyidikan Kasus Kecelakaan Vanessa Angel Lambat,https://news.detik.com/berita-jawa-timur/d-5803594/polisi-tepis-penyidikan-kasus-kecelakaan-vanessa-angel-lambat,"
Selasa, 09 Nov 2021 14:46 WIB "
Reaksi Ayah Vanessa Angel Saat Kematian Tragis Anaknya Dijadikan Konten,https://news.detik.com/berita/d-5803589/reaksi-ayah-vanessa-angel-saat-kematian-tragis-anaknya-dijadikan-konten,"
Selasa, 09 Nov 2021 14:41 WIB "
Pengelola Tol Ungkap Kekuatan Barier yang Tertabrak Mobil Vanessa Angel di Jombang,https://news.detik.com/berita-jawa-timur/d-5803503/pengelola-tol-ungkap-kekuatan-barier-yang-tertabrak-mobil-vanessa-angel-di-jombang,"
Selasa, 09 Nov 2021 13:51 WIB "
"Polisi Periksa Pengelola Tol Terkait Kecelakaan Vanessa Angel, Ini Hasilnya",https://news.detik.com/berita-jawa-timur/d-5803462/polisi-periksa-pengelola-tol-terkait-kecelakaan-vanessa-angel-ini-hasilnya,"
Selasa, 09 Nov 2021 13:32 WIB "
Melihat Jejak Mobil Vanessa Angel Oleng ke Kiri Lalu Tabrak Ujung Beton,https://news.detik.com/berita-jawa-timur/d-5803398/melihat-jejak-mobil-vanessa-angel-oleng-ke-kiri-lalu-tabrak-ujung-beton,"
Selasa, 09 Nov 2021 12:54 WIB "
Ke Mana Perginya Foto Vanessa Angel di Makam? Ini Penjelasan Penjaga,https://news.detik.com/berita/d-5803191/ke-mana-perginya-foto-vanessa-angel-di-makam-ini-penjelasan-penjaga,"
Selasa, 09 Nov 2021 10:54 WIB "
Kondisi Terkini Makam Vanessa Angel-Bibi: Foto Vanessa Tak Ada Lagi,https://news.detik.com/berita/d-5803177/kondisi-terkini-makam-vanessa-angel-bibi-foto-vanessa-tak-ada-lagi,"
Selasa, 09 Nov 2021 10:36 WIB "
Pilu Gala Merangkak 3 Meter dari Tubuh Vanessa Angel yang Tergeletak di Aspal,https://news.detik.com/berita-jawa-timur/d-5803151/pilu-gala-merangkak-3-meter-dari-tubuh-vanessa-angel-yang-tergeletak-di-aspal,"
Selasa, 09 Nov 2021 10:21 WIB "
Saat Polisi Selesaikan Gelar Perkara Tapi Belum Ada Penetapan Tersangka,https://news.detik.com/berita-jawa-timur/d-5803082/saat-polisi-selesaikan-gelar-perkara-tapi-belum-ada-penetapan-tersangka,"
Selasa, 09 Nov 2021 09:25 WIB "
Aksi Ikhlas Pedagang Nanas dan Beras Selamatkan Gala Usai Kecelakaan,https://news.detik.com/berita-jawa-timur/d-5803052/aksi-ikhlas-pedagang-nanas-dan-beras-selamatkan-gala-usai-kecelakaan,"
Selasa, 09 Nov 2021 08:50 WIB "
"Gelar Perkara Kasus Kecelakaan Tewaskan Vanessa Angel Selesai, Apa Hasilnya?",https://news.detik.com/berita-jawa-timur/d-5802419/gelar-perkara-kasus-kecelakaan-tewaskan-vanessa-angel-selesai-apa-hasilnya,"
Senin, 08 Nov 2021 17:51 WIB "
"Gala Anak Vanessa dan Baby Sitter Telah Dipulangkan, Kenapa Joddy Masih di RS?",https://news.detik.com/berita-jawa-timur/d-5802369/gala-anak-vanessa-dan-baby-sitter-telah-dipulangkan-kenapa-joddy-masih-di-rs,"
Senin, 08 Nov 2021 17:29 WIB "
Polisi Ungkap Joddy dan Bibi Sempat Gantian Nyetir 2 Kali Sebelum Kecelakaan,https://news.detik.com/berita-jawa-timur/d-5802320/polisi-ungkap-joddy-dan-bibi-sempat-gantian-nyetir-2-kali-sebelum-kecelakaan,"
Senin, 08 Nov 2021 16:59 WIB "
Aksi Pedagang Nanas Tolong Gala yang Menangis-Terluka Usai Kecelakaan,https://news.detik.com/berita-jawa-timur/d-5802291/aksi-pedagang-nanas-tolong-gala-yang-menangis-terluka-usai-kecelakaan,"
Senin, 08 Nov 2021 16:47 WIB "
