title,url,date
"Eks Menag Yaqut Segera Disidang, Berkas Perkaranya Setebal Ini",https://news.detik.com/berita/d-8598842/eks-menag-yaqut-segera-disidang-berkas-perkaranya-setebal-ini,"
Jumat, 31 Jul 2026 16:48 WIB "
"Tersangka Korupsi Haji Asrul Azis Praperadilan Lagi, KPK Bilang Begini",https://news.detik.com/berita/d-8580355/tersangka-korupsi-haji-asrul-azis-praperadilan-lagi-kpk-bilang-begini,"
Minggu, 19 Jul 2026 10:33 WIB "
"Tersangka Korupsi Haji Asrul Azis Ajukan Praperadilan Lagi, Protes Penggeledahan",https://news.detik.com/berita/d-8579488/tersangka-korupsi-haji-asrul-azis-ajukan-praperadilan-lagi-protes-penggeledahan,"
Sabtu, 18 Jul 2026 14:08 WIB "
KPK Bakal Buka Aliran Duit Korupsi Kuota Haji ke Eks Menag Yaqut di Sidang,https://news.detik.com/berita/d-8573633/kpk-bakal-buka-aliran-duit-korupsi-kuota-haji-ke-eks-menag-yaqut-di-sidang,"
Selasa, 14 Jul 2026 14:58 WIB "
Mantan Menag Yaqut Segera Diadili di Kasus Korupsi Kuota Haji,https://news.detik.com/berita/d-8573266/mantan-menag-yaqut-segera-diadili-di-kasus-korupsi-kuota-haji,"
Selasa, 14 Jul 2026 12:10 WIB "
Eks Menag Yaqut Kembali Diperiksa KPK Usai Pembantaran Berakhir,https://news.detik.com/berita/d-8573033/eks-menag-yaqut-kembali-diperiksa-kpk-usai-pembantaran-berakhir,"
Selasa, 14 Jul 2026 09:53 WIB "
"Pembantaran Selesai, Eks Menag Yaqut Kembali Ditahan di Rutan KPK",https://news.detik.com/berita/d-8568117/pembantaran-selesai-eks-menag-yaqut-kembali-ditahan-di-rutan-kpk,"
Jumat, 10 Jul 2026 12:57 WIB "
"Kasus Kuota Haji Mau Disidangkan, KPK Harap Eks Menag Yaqut Segera Pulih",https://news.detik.com/berita/d-8564392/kasus-kuota-haji-mau-disidangkan-kpk-harap-eks-menag-yaqut-segera-pulih,"
Selasa, 07 Jul 2026 23:04 WIB "
Eks Menag Yaqut Sudah 12 Hari Jalani Pembantaran di RS,https://news.detik.com/berita/d-8562361/eks-menag-yaqut-sudah-12-hari-jalani-pembantaran-di-rs,"
Senin, 06 Jul 2026 17:31 WIB "
"Praperadilan Tersangka Korupsi Haji Asrul Azis Ditolak, KPK Lanjut Penyidikan",https://news.detik.com/berita/d-8562311/praperadilan-tersangka-korupsi-haji-asrul-azis-ditolak-kpk-lanjut-penyidikan,"
Senin, 06 Jul 2026 17:14 WIB "
"Hakim Tolak Praperadilan Asrul Azis, Status Tersangka Korupsi Kuota Haji Sah",https://news.detik.com/berita/d-8562101/hakim-tolak-praperadilan-asrul-azis-status-tersangka-korupsi-kuota-haji-sah,"
Senin, 06 Jul 2026 15:28 WIB "
Eks Menpora Dito Bikin Pangling Saat Jadi Saksi di KPK,https://news.detik.com/berita/d-8554495/eks-menpora-dito-bikin-pangling-saat-jadi-saksi-di-kpk,"
Selasa, 30 Jun 2026 21:13 WIB "
KPK Panggil Dito Ariotedjo,https://news.detik.com/berita/d-8554491/kpk-panggil-dito-ariotedjo,"
Selasa, 30 Jun 2026 21:08 WIB "
Kondisi Terkini Yaqut Tersangka KPK yang Ternyata Dioperasi,https://news.detik.com/berita/d-8554428/kondisi-terkini-yaqut-tersangka-kpk-yang-ternyata-dioperasi,"
Selasa, 30 Jun 2026 20:04 WIB "
Kata Dito Ariotedjo Usai Diperiksa KPK,https://news.detik.com/berita/d-8553893/kata-dito-ariotedjo-usai-diperiksa-kpk,"
Selasa, 30 Jun 2026 15:29 WIB "
KPK Ungkap Eks Menag Yaqut Jalani Operasi Usai Sakit Saluran Pencernaan,https://news.detik.com/berita/d-8553768/kpk-ungkap-eks-menag-yaqut-jalani-operasi-usai-sakit-saluran-pencernaan,"
Selasa, 30 Jun 2026 14:30 WIB "
"Eks Menpora Dito Ariotedjo Lebih Langsing Saat Datangi KPK, Ngaku Ikut Hyrox",https://news.detik.com/berita/d-8553378/eks-menpora-dito-ariotedjo-lebih-langsing-saat-datangi-kpk-ngaku-ikut-hyrox,"
Selasa, 30 Jun 2026 11:10 WIB "
KPK Kembali Periksa Eks Menpora Dito Ariotedjo Jadi Saksi Kasus Haji,https://news.detik.com/berita/d-8553287/kpk-kembali-periksa-eks-menpora-dito-ariotedjo-jadi-saksi-kasus-haji,"
Selasa, 30 Jun 2026 10:27 WIB "
"Gugat Praperadilan, Asrul Azis Minta Status Tersangka Korupsi Haji Dibatalkan",https://news.detik.com/berita/d-8548202/gugat-praperadilan-asrul-azis-minta-status-tersangka-korupsi-haji-dibatalkan,"
Jumat, 26 Jun 2026 12:42 WIB "
"Eks Menag Yaqut Sakit Pencernaan, Penahanan Dibantarkan ke RS Polri",https://news.detik.com/berita/d-8546063/eks-menag-yaqut-sakit-pencernaan-penahanan-dibantarkan-ke-rs-polri,"
Rabu, 24 Jun 2026 21:33 WIB "
"3 Kali Periksa Hilman Latief, KPK Makin Yakin soal Bagi Jatah Kuota Haji",https://news.detik.com/berita/d-8546036/3-kali-periksa-hilman-latief-kpk-makin-yakin-soal-bagi-jatah-kuota-haji,"
Rabu, 24 Jun 2026 21:18 WIB "
Hilman Latief Ngaku Dicecar KPK soal Kebijakan Pembagian Kuota Haji,https://news.detik.com/berita/d-8545829/hilman-latief-ngaku-dicecar-kpk-soal-kebijakan-pembagian-kuota-haji,"
Rabu, 24 Jun 2026 18:25 WIB "
