title,url,date
"Gempuran Junta Myanmar Hantam Sekolah, 22 Orang Tewas",https://news.detik.com/internasional/d-7912255/gempuran-junta-myanmar-hantam-sekolah-22-orang-tewas,"
Selasa, 13 Mei  2025 14:20 WIB "
Lagi-lagi Junta Myanmar Ingkar Janji,https://news.detik.com/internasional/d-7894118/lagi-lagi-junta-myanmar-ingkar-janji,"
Kamis, 01 Mei  2025 06:22 WIB "
"Junta Myanmar Janjikan Gencatan Senjata Usai Gempa, Tapi Ingkar Lagi",https://news.detik.com/bbc-world/d-7893107/junta-myanmar-janjikan-gencatan-senjata-usai-gempa-tapi-ingkar-lagi,"
Rabu, 30 Apr 2025 14:39 WIB "
"Berdiri di Atas Tanah Lunak, Ibu Kota Baru Myanmar Bakal Dirombak",https://news.detik.com/bbc-world/d-7881625/berdiri-di-atas-tanah-lunak-ibu-kota-baru-myanmar-bakal-dirombak,"
Rabu, 23 Apr 2025 10:26 WIB "
60.000 Siswa Myanmar Harus Mengulang Ujian Masuk Universitas Usai Gempa,https://news.detik.com/internasional/d-7880633/60-000-siswa-myanmar-harus-mengulang-ujian-masuk-universitas-usai-gempa,"
Selasa, 22 Apr 2025 15:49 WIB "
"Beri Amnesti Massal, Junta Myanmar Akan Bebaskan 5.000 Tahanan",https://news.detik.com/internasional/d-7873783/beri-amnesti-massal-junta-myanmar-akan-bebaskan-5-000-tahanan,"
Kamis, 17 Apr 2025 17:20 WIB "
"Gempa Guncang Myanmar Lagi, Kali Ini M 5,6",https://news.detik.com/internasional/d-7866626/gempa-guncang-myanmar-lagi-kali-ini-m-5-6,"
Minggu, 13 Apr 2025 11:11 WIB "
Tim Medis Polri Beri Layanan ke 1.104 Korban Luka-Terdampak Gempa Myanmar,https://news.detik.com/berita/d-7865215/tim-medis-polri-beri-layanan-ke-1-104-korban-luka-terdampak-gempa-myanmar,"
Jumat, 11 Apr 2025 22:44 WIB "
"Dunia Hari Ini: Presiden Trump Tunda Pemberlakuan Tarif, Kecuali untuk China",https://news.detik.com/abc-australia/d-7862584/dunia-hari-ini-presiden-trump-tunda-pemberlakuan-tarif-kecuali-untuk-china,"
Kamis, 10 Apr 2025 14:22 WIB "
"Bertemu di Malaysia, Prabowo-Anwar Ibrahim Bahas Dampak Tarif Trump ke ASEAN",https://news.detik.com/berita/d-7857319/bertemu-di-malaysia-prabowo-anwar-ibrahim-bahas-dampak-tarif-trump-ke-asean,"
Senin, 07 Apr 2025 09:04 WIB "
Bau Mayat dan Ketakutan Selimuti Kota di Myanmar Sepekan Usai Gempa Dahsyat,https://news.detik.com/internasional/d-7855838/bau-mayat-dan-ketakutan-selimuti-kota-di-myanmar-sepekan-usai-gempa-dahsyat,"
Sabtu, 05 Apr 2025 17:39 WIB "
Singapura Kerahkan Kecoak Cyborg Cari Korban Reruntuhan Gempa di Myanmar,https://news.detik.com/internasional/d-7855788/singapura-kerahkan-kecoak-cyborg-cari-korban-reruntuhan-gempa-di-myanmar,"
Sabtu, 05 Apr 2025 17:05 WIB "
"Korban Tewas Gempa M 7,7 di Myanmar Tembus 3.354 Orang, 220 Masih Hilang",https://news.detik.com/internasional/d-7855585/korban-tewas-gempa-m-7-7-di-myanmar-tembus-3-354-orang-220-masih-hilang,"
Sabtu, 05 Apr 2025 14:21 WIB "
