title,url,date
BMKG Ungkap Sumber Suara Gemuruh Saat Gempa Cianjur,https://news.detik.com/berita/d-6644515/bmkg-ungkap-sumber-suara-gemuruh-saat-gempa-cianjur,"
Rabu, 29 Mar 2023 14:59 WIB "
Heboh Warga Dengar Suara Gemuruh Keras Saat Gempa Cianjur,https://news.detik.com/berita/d-6644455/heboh-warga-dengar-suara-gemuruh-keras-saat-gempa-cianjur,"
Rabu, 29 Mar 2023 14:37 WIB "
"Gempa Darat M 4,0 Guncang Cianjur",https://news.detik.com/berita/d-6644142/gempa-darat-m-4-0-guncang-cianjur,"
Rabu, 29 Mar 2023 12:47 WIB "
BPBD Petakan 3 Kecamatan di Puncak Bogor Rawan Bencana Longsor,https://news.detik.com/berita/d-6630613/bpbd-petakan-3-kecamatan-di-puncak-bogor-rawan-bencana-longsor,"
Selasa, 21 Mar 2023 13:54 WIB "
"Banjir Terjang Cianjur, Belasan Tenda Pengungsian Korban Gempa Hanyut",https://news.detik.com/berita/d-6629750/banjir-terjang-cianjur-belasan-tenda-pengungsian-korban-gempa-hanyut,"
Senin, 20 Mar 2023 23:14 WIB "
berbuatbaik.id Ringankan Beban Korban Gempa Cianjur yang Ditinggal Keluarga,https://news.detik.com/berita/d-6616053/berbuatbaik-id-ringankan-beban-korban-gempa-cianjur-yang-ditinggal-keluarga,"
Senin, 13 Mar 2023 13:18 WIB "
Peran Kampus dan Ketangguhan Bencana,https://news.detik.com/kolom/d-6612879/peran-kampus-dan-ketangguhan-bencana,"
Sabtu, 11 Mar 2023 10:49 WIB "
Ketua IMI Kecam Kegiatan Ilegal Komunitas Motor Trail di Ranca Upas,https://news.detik.com/berita/d-6612080/ketua-imi-kecam-kegiatan-ilegal-komunitas-motor-trail-di-ranca-upas,"
Jumat, 10 Mar 2023 18:28 WIB "
"Bantu Warga Terdampak Gempa di Cianjur, BNI Diapresiasi Kemenkes",https://news.detik.com/berita/d-6609538/bantu-warga-terdampak-gempa-di-cianjur-bni-diapresiasi-kemenkes,"
Kamis, 09 Mar 2023 14:41 WIB "
Komisi VIII DPR Dukung Penyaluran Bantuan Bencana Dibuat Simpel,https://news.detik.com/berita/d-6598221/komisi-viii-dpr-dukung-penyaluran-bantuan-bencana-dibuat-simpel,"
Jumat, 03 Mar 2023 09:03 WIB "
"Rakornas BNPB, Kapolri Bicara Langkah Konkret Manajemen Risiko Bencana",https://news.detik.com/berita/d-6597486/rakornas-bnpb-kapolri-bicara-langkah-konkret-manajemen-risiko-bencana,"
Kamis, 02 Mar 2023 17:43 WIB "
"Mendagri Ingatkan Pendidikan Bencana, Singgung Momen Kepala BMKG Ditertawakan",https://news.detik.com/berita/d-6597001/mendagri-ingatkan-pendidikan-bencana-singgung-momen-kepala-bmkg-ditertawakan,"
Kamis, 02 Mar 2023 14:50 WIB "
BNPB Targetkan Vaksinasi Penyakit Mulut dan Kuku Hewan Selesai di 2023,https://news.detik.com/berita/d-6596621/bnpb-targetkan-vaksinasi-penyakit-mulut-dan-kuku-hewan-selesai-di-2023,"
Kamis, 02 Mar 2023 12:14 WIB "
Jokowi Minta Aturan Ruwet Penyaluran Bantuan Bencana Disederhanakan!,https://news.detik.com/berita/d-6596464/jokowi-minta-aturan-ruwet-penyaluran-bantuan-bencana-disederhanakan,"
Kamis, 02 Mar 2023 11:01 WIB "
"Bagi-bagi Sertifikat Tanah di Cianjur, Puan Pesan Jangan Asal Digadaikan",https://news.detik.com/berita/d-6595833/bagi-bagi-sertifikat-tanah-di-cianjur-puan-pesan-jangan-asal-digadaikan,"
Rabu, 01 Mar 2023 20:06 WIB "
"Kunjungi Cianjur, Puan Dorong Percepatan Relokasi Rumah Korban Gempa",https://news.detik.com/berita/d-6595736/kunjungi-cianjur-puan-dorong-percepatan-relokasi-rumah-korban-gempa,"
Rabu, 01 Mar 2023 19:13 WIB "
Puan Minta Bantuan Dana Guru Madrasah di Cianjur Disalurkan Bulan Ini,https://news.detik.com/berita/d-6595645/puan-minta-bantuan-dana-guru-madrasah-di-cianjur-disalurkan-bulan-ini,"
Rabu, 01 Mar 2023 18:39 WIB "
Tim berbuatbaik.id Salurkan Donasi untuk SD yang Terdampak Gempa Cianjur,https://news.detik.com/berita/d-6593472/tim-berbuatbaik-id-salurkan-donasi-untuk-sd-yang-terdampak-gempa-cianjur,"
Selasa, 28 Feb 2023 17:18 WIB "
Partai Garuda: Jangan Beri Ruang Teroris Manfaatkan Dana atas Nama Bencana,https://news.detik.com/berita/d-6578582/partai-garuda-jangan-beri-ruang-teroris-manfaatkan-dana-atas-nama-bencana,"
Senin, 20 Feb 2023 13:37 WIB "
"PPATK Laporkan Dugaan Penyelewengan Bantuan Gempa Cianjur, Ma'ruf: Tindak!",https://news.detik.com/berita/d-6577251/ppatk-laporkan-dugaan-penyelewengan-bantuan-gempa-cianjur-maruf-tindak,"
Minggu, 19 Feb 2023 16:49 WIB "
"Diundang KSAD-Ketua MUI, Wapres Bakal Hadiri Isra Mi'raj di Cianjur",https://news.detik.com/berita/d-6573314/diundang-ksad-ketua-mui-wapres-bakal-hadiri-isra-miraj-di-cianjur,"
Jumat, 17 Feb 2023 04:24 WIB "
Polisi Selidiki Dugaan JAD Galang Dana Lewat Bantuan Gempa Cianjur,https://news.detik.com/berita/d-6570431/polisi-selidiki-dugaan-jad-galang-dana-lewat-bantuan-gempa-cianjur,"
Rabu, 15 Feb 2023 15:52 WIB "
Eks Teroris soal JAD Galang Dana Dalih Korban Gempa Cianjur: Modus Lama,https://news.detik.com/berita/d-6567406/eks-teroris-soal-jad-galang-dana-dalih-korban-gempa-cianjur-modus-lama,"
Selasa, 14 Feb 2023 06:53 WIB "
BNPT Ungkap Kelompok Teroris JAD Galang Dana Lewat Gempa Cianjur,https://news.detik.com/berita/d-6566144/bnpt-ungkap-kelompok-teroris-jad-galang-dana-lewat-gempa-cianjur,"
Senin, 13 Feb 2023 14:13 WIB "
