title,url,date
"Israel Gempur Bandara Aleppo Suriah, Serangan Kedua Bulan Ini",https://news.detik.com/internasional/d-6632618/israel-gempur-bandara-aleppo-suriah-serangan-kedua-bulan-ini,"
Rabu, 22 Mar 2023 15:32 WIB "
Banjir Bandang Turki 2023: Awal Mula Hingga Jumlah Korban Terkini,https://news.detik.com/internasional/d-6623976/banjir-bandang-turki-2023-awal-mula-hingga-jumlah-korban-terkini,"
Jumat, 17 Mar 2023 10:59 WIB "
Nestapa Korban Gempa Turki Diterjang Banjir hingga Jatuh Korban Jiwa,https://news.detik.com/internasional/d-6623612/nestapa-korban-gempa-turki-diterjang-banjir-hingga-jatuh-korban-jiwa,"
Jumat, 17 Mar 2023 05:12 WIB "
"Tragis! Banjir Bandang Terjang Korban Gempa Turki, 14 Orang Tewas",https://news.detik.com/internasional/d-6621886/tragis-banjir-bandang-terjang-korban-gempa-turki-14-orang-tewas,"
Kamis, 16 Mar 2023 10:55 WIB "
"Presiden Suriah Temui Putin di Moskow, Bahas Apa?",https://news.detik.com/internasional/d-6619976/presiden-suriah-temui-putin-di-moskow-bahas-apa,"
Rabu, 15 Mar 2023 12:03 WIB "
YouTuber Jepang Dipecat sebagai Anggota Parlemen karena Selalu Absen,https://news.detik.com/bbc-world/d-6619607/youtuber-jepang-dipecat-sebagai-anggota-parlemen-karena-selalu-absen,"
Rabu, 15 Mar 2023 09:20 WIB "
Puan Maharani Bicara Arsitektur Sistem Internasional di Forum MIKTA,https://news.detik.com/berita/d-6611720/puan-maharani-bicara-arsitektur-sistem-internasional-di-forum-mikta,"
Jumat, 10 Mar 2023 16:30 WIB "
"Puan Maharani Jabat Ketua Parlemen MIKTA, Ini 3 Isu Prioritas RI",https://news.detik.com/berita/d-6611707/puan-maharani-jabat-ketua-parlemen-mikta-ini-3-isu-prioritas-ri,"
Jumat, 10 Mar 2023 16:11 WIB "
"Bertemu Ketua Parlemen Turki, Puan Salurkan Bantuan untuk Korban Gempa",https://news.detik.com/berita/d-6611683/bertemu-ketua-parlemen-turki-puan-salurkan-bantuan-untuk-korban-gempa,"
Jumat, 10 Mar 2023 15:58 WIB "
5 Berita Terpopuler Internasional Hari Ini,https://news.detik.com/internasional/d-6608004/5-berita-terpopuler-internasional-hari-ini,"
Rabu, 08 Mar 2023 17:52 WIB "
"Sayap Baru Tanah Air, Buah Diplomasi Soekarno-Jokowi",https://news.detik.com/kolom/d-6607492/sayap-baru-tanah-air-buah-diplomasi-soekarno-jokowi,"
Rabu, 08 Mar 2023 14:57 WIB "
Serangan Udara Israel ke Bandara Aleppo Suriah Tewaskan 3 Orang,https://news.detik.com/internasional/d-6606791/serangan-udara-israel-ke-bandara-aleppo-suriah-tewaskan-3-orang,"
Rabu, 08 Mar 2023 10:19 WIB "
Aliansi Oposisi Turki Umumkan Kandidat Presiden Penantang Erdogan,https://news.detik.com/dw/d-6606751/aliansi-oposisi-turki-umumkan-kandidat-presiden-penantang-erdogan,"
Rabu, 08 Mar 2023 09:50 WIB "
Derita Pengungsi Gempa Turki Hidup Terlunta-lunta di Pinggir Jalan,https://news.detik.com/bbc-world/d-6606736/derita-pengungsi-gempa-turki-hidup-terlunta-lunta-di-pinggir-jalan,"
Rabu, 08 Mar 2023 09:39 WIB "
Pesawat Tempur Israel Gempur Bandara Aleppo Suriah,https://news.detik.com/internasional/d-6605654/pesawat-tempur-israel-gempur-bandara-aleppo-suriah,"
Selasa, 07 Mar 2023 16:12 WIB "
Kapolri Wanti-wanti Kemungkinan Karhutla Meningkat di 2023,https://news.detik.com/berita/d-6597082/kapolri-wanti-wanti-kemungkinan-karhutla-meningkat-di-2023,"
Kamis, 02 Mar 2023 15:28 WIB "
Menteri PUPR Akan Kirim Tim ke Turki Pelajari Pemicu Banyak Gedung Runtuh,https://news.detik.com/berita/d-6597060/menteri-pupr-akan-kirim-tim-ke-turki-pelajari-pemicu-banyak-gedung-runtuh,"
Kamis, 02 Mar 2023 15:19 WIB "
"BMKG Ingatkan Potensi Gempa Sesar Lembang, Minta Pemda Pantau Kualitas Gedung",https://news.detik.com/berita/d-6596931/bmkg-ingatkan-potensi-gempa-sesar-lembang-minta-pemda-pantau-kualitas-gedung,"
Kamis, 02 Mar 2023 14:25 WIB "
BNPB Targetkan Vaksinasi Penyakit Mulut dan Kuku Hewan Selesai di 2023,https://news.detik.com/berita/d-6596621/bnpb-targetkan-vaksinasi-penyakit-mulut-dan-kuku-hewan-selesai-di-2023,"
Kamis, 02 Mar 2023 12:14 WIB "
Erdogan: Pemilu Turki Tetap Digelar 14 Mei Meski Baru Diguncang Gempa,https://news.detik.com/internasional/d-6595543/erdogan-pemilu-turki-tetap-digelar-14-mei-meski-baru-diguncang-gempa,"
Rabu, 01 Mar 2023 17:57 WIB "
"Korban Jiwa Gempa Turki-Suriah Jadi 50.000 Orang, Puluhan Ribu Hilang!",https://news.detik.com/internasional/d-6594409/korban-jiwa-gempa-turki-suriah-jadi-50-000-orang-puluhan-ribu-hilang,"
Rabu, 01 Mar 2023 10:52 WIB "
5 Berita Terpopuler Internasional Hari Ini,https://news.detik.com/internasional/d-6593462/5-berita-terpopuler-internasional-hari-ini,"
Selasa, 28 Feb 2023 17:12 WIB "
"Gempa Turki 27 Februari 2023: Kekuatan, Dampak, Hingga Jumlah Korban",https://news.detik.com/internasional/d-6593361/gempa-turki-27-februari-2023-kekuatan-dampak-hingga-jumlah-korban,"
Selasa, 28 Feb 2023 14:38 WIB "
"Akibat Gempa, 2 Kota di Turki Luluh Lantak Seperti Zona Perang",https://news.detik.com/bbc-world/d-6592879/akibat-gempa-2-kota-di-turki-luluh-lantak-seperti-zona-perang,"
Selasa, 28 Feb 2023 13:19 WIB "
Erdogan Minta Maaf Atas Lambatnya Penyelamatan Korban Gempa Turki,https://news.detik.com/internasional/d-6592561/erdogan-minta-maaf-atas-lambatnya-penyelamatan-korban-gempa-turki,"
Selasa, 28 Feb 2023 11:10 WIB "
