title,url,date
Briptu Danang Penumpang Rantis Lindas Affan Disanksi Minta Maaf-Dipatsus 20 Hari,https://news.detik.com/berita/d-8138393/briptu-danang-penumpang-rantis-lindas-affan-disanksi-minta-maaf-dipatsus-20-hari,"
Selasa, 30 Sep 2025 19:51 WIB "
Aipda M Rohyani Penumpang Rantis Lindas Ojol Affan Disanksi Minta Maaf,https://news.detik.com/berita/d-8138048/aipda-m-rohyani-penumpang-rantis-lindas-ojol-affan-disanksi-minta-maaf,"
Selasa, 30 Sep 2025 17:02 WIB "
"Menteri Ara Serah Terima Kunci Rumah Subsidi, Termasuk untuk Keluarga Affan",https://news.detik.com/berita/d-8136697/menteri-ara-serah-terima-kunci-rumah-subsidi-termasuk-untuk-keluarga-affan,"
Senin, 29 Sep 2025 21:53 WIB "
"Hujan-hujanan, Prabowo Sapa Langsung Warga Pemilik Rumah Subsidi di Cileungsi",https://news.detik.com/berita/d-8136640/hujan-hujanan-prabowo-sapa-langsung-warga-pemilik-rumah-subsidi-di-cileungsi,"
Senin, 29 Sep 2025 20:55 WIB "
Canda Rano Karno Bisa Ajak Ojol Ngecat Halte gegara Pernah Jadi Sopir Oplet,https://news.detik.com/berita/d-8133964/canda-rano-karno-bisa-ajak-ojol-ngecat-halte-gegara-pernah-jadi-sopir-oplet,"
Minggu, 28 Sep 2025 09:29 WIB "
Bareskrim Mulai Selidiki Kasus Ojol Affan Tewas Dilindas Rantis Brimob,https://news.detik.com/berita/d-8128830/bareskrim-mulai-selidiki-kasus-ojol-affan-tewas-dilindas-rantis-brimob,"
Rabu, 24 Sep 2025 20:02 WIB "
Restorasi Polri: Harapan itu Masih Ada,https://news.detik.com/kolom/d-8123847/restorasi-polri-harapan-itu-masih-ada,"
Senin, 22 Sep 2025 10:21 WIB "
Badan Pengkajian MPR Tekankan Perlunya Redefinisi Kedaulatan Rakyat,https://news.detik.com/berita/d-8120074/badan-pengkajian-mpr-tekankan-perlunya-redefinisi-kedaulatan-rakyat,"
Jumat, 19 Sep 2025 14:08 WIB "
"Gen Z Nepal Usai Gulingkan Pemerintah: Politisi Makin Kaya, Kami Menderita",https://news.detik.com/bbc-world/d-8118881/gen-z-nepal-usai-gulingkan-pemerintah-politisi-makin-kaya-kami-menderita,"
Kamis, 18 Sep 2025 17:59 WIB "
Sejumlah Ojol Tetap Narik Saat Massa Demo Potongan Aplikator 10 % di DPR,https://news.detik.com/berita/d-8116710/sejumlah-ojol-tetap-narik-saat-massa-demo-potongan-aplikator-10-di-dpr,"
Rabu, 17 Sep 2025 15:44 WIB "
"Diguyur Hujan, Massa Ojol Suarakan Potongan Aplikator 10% di Depan DPR",https://news.detik.com/berita/d-8116401/diguyur-hujan-massa-ojol-suarakan-potongan-aplikator-10-di-depan-dpr,"
Rabu, 17 Sep 2025 13:58 WIB "
Berkas Sidang Etik 5 Anggota Brimob Pelindas Affan Masih Dilengkapi,https://news.detik.com/berita/d-8116216/berkas-sidang-etik-5-anggota-brimob-pelindas-affan-masih-dilengkapi,"
Rabu, 17 Sep 2025 12:29 WIB "
6.118 Personel Gabungan Dikerahkan Kawal Demo Ojol Hari Ini,https://news.detik.com/berita/d-8115786/6-118-personel-gabungan-dikerahkan-kawal-demo-ojol-hari-ini,"
Rabu, 17 Sep 2025 08:24 WIB "
"Ada Demo Ojol di DPR-Kemenhub Hari Ini, Rekayasa Lalin Situasional",https://news.detik.com/berita/d-8115695/ada-demo-ojol-di-dpr-kemenhub-hari-ini-rekayasa-lalin-situasional,"
Rabu, 17 Sep 2025 06:43 WIB "
"Asosiasi Ojol Mau Demo Kemenhub-DPR Besok, Ancam Matikan Aplikasi Massal",https://news.detik.com/berita/d-8114402/asosiasi-ojol-mau-demo-kemenhub-dpr-besok-ancam-matikan-aplikasi-massal,"
Selasa, 16 Sep 2025 12:28 WIB "
Yusril Nilai Penyelidikan Polisi di Kasus Demo Ricuh Sudah Transparan,https://news.detik.com/berita/d-8111611/yusril-nilai-penyelidikan-polisi-di-kasus-demo-ricuh-sudah-transparan,"
Minggu, 14 Sep 2025 17:27 WIB "
"Bamsoet Ingatkan Ancaman AI, Tirani Algoritma, dan Muslihat Disinformasi",https://news.detik.com/berita/d-8111104/bamsoet-ingatkan-ancaman-ai-tirani-algoritma-dan-muslihat-disinformasi,"
Minggu, 14 Sep 2025 11:16 WIB "
Menko Yusril Pastikan Penyelidikan Kasus Demo Ricuh Sudah Transparan,https://news.detik.com/berita/d-8110560/menko-yusril-pastikan-penyelidikan-kasus-demo-ricuh-sudah-transparan,"
Sabtu, 13 Sep 2025 18:58 WIB "
Panacea Perampasan Aset dan Negara Hukum,https://news.detik.com/kolom/d-8109857/panacea-perampasan-aset-dan-negara-hukum,"
Sabtu, 13 Sep 2025 08:18 WIB "
Dari Indonesia hingga Nepal-Prancis: Bendera One Piece saat Unjuk Rasa,https://news.detik.com/internasional/d-8109810/dari-indonesia-hingga-nepal-prancis-bendera-one-piece-saat-unjuk-rasa,"
Sabtu, 13 Sep 2025 06:03 WIB "
Doa Lintas Agama! Ribuan Mitra Driver dan Karyawan Gojek Doakan Indonesia,https://news.detik.com/berita/d-8109746/doa-lintas-agama-ribuan-mitra-driver-dan-karyawan-gojek-doakan-indonesia,"
Sabtu, 13 Sep 2025 00:30 WIB "
GoTo Kembali Salurkan Bantuan ke Keluarga Affan Kurniawan,https://news.detik.com/berita/d-8109625/goto-kembali-salurkan-bantuan-ke-keluarga-affan-kurniawan,"
Jumat, 12 Sep 2025 22:04 WIB "
GoTo-Para Tokoh Lintas Agama Gelar Doa Bersama untuk Persatuan Indonesia,https://news.detik.com/berita/d-8109620/goto-para-tokoh-lintas-agama-gelar-doa-bersama-untuk-persatuan-indonesia,"
Jumat, 12 Sep 2025 21:41 WIB "
"Setelah Indonesia, Bendera One Piece Muncul di Demo Nepal-Prancis",https://news.detik.com/internasional/d-8108517/setelah-indonesia-bendera-one-piece-muncul-di-demo-nepal-prancis,"
Jumat, 12 Sep 2025 12:22 WIB "
Pemerintah Serahkan Bantuan Rumah ke Korban Unjuk Rasa di Makassar,https://news.detik.com/berita/d-8107805/pemerintah-serahkan-bantuan-rumah-ke-korban-unjuk-rasa-di-makassar,"
Kamis, 11 Sep 2025 20:12 WIB "
"JK Bicara Situasi RI: Rakyat Perlu Perubahan, Keadilan, dan Kesejahteraan",https://news.detik.com/berita/d-8107621/jk-bicara-situasi-ri-rakyat-perlu-perubahan-keadilan-dan-kesejahteraan,"
Kamis, 11 Sep 2025 18:14 WIB "
Brimob Pemukul Staf KLH di Serang Disanksi Tunda Kenaikan Pangkat-Patsus,https://news.detik.com/berita/d-8106640/brimob-pemukul-staf-klh-di-serang-disanksi-tunda-kenaikan-pangkat-patsus,"
Kamis, 11 Sep 2025 11:11 WIB "
"Arahan Bahlil ke Fraksi Golkar DPR: Wakil Rakyat Wajib Peka, Jangan Flexing",https://news.detik.com/berita/d-8105316/arahan-bahlil-ke-fraksi-golkar-dpr-wakil-rakyat-wajib-peka-jangan-flexing,"
Rabu, 10 Sep 2025 14:59 WIB "
Kompolnas Ingatkan PMJ Patuhi Putusan MK soal Laporan Pencemaran Nama Baik,https://news.detik.com/berita/d-8105190/kompolnas-ingatkan-pmj-patuhi-putusan-mk-soal-laporan-pencemaran-nama-baik,"
Rabu, 10 Sep 2025 14:18 WIB "
