title,url,date
11 Terduga Teroris Ditangkap di Merauke Diduga Hendak Bom Gereja,https://news.detik.com/berita/d-5588655/11-terduga-teroris-ditangkap-di-merauke-diduga-hendak-bom-gereja,"
Senin, 31 Mei  2021 17:01 WIB "
Densus 88 Kembali Tangkap Terduga Teroris di Merauke,https://news.detik.com/berita/d-5588604/densus-88-kembali-tangkap-terduga-teroris-di-merauke,"
Senin, 31 Mei  2021 16:44 WIB "
Polda Persilakan 2 Tersangka Teroris Makassar Ajukan Praperadilan,https://news.detik.com/berita/d-5588365/polda-persilakan-2-tersangka-teroris-makassar-ajukan-praperadilan,"
Senin, 31 Mei  2021 14:30 WIB "
3 Eks Petinggi FPI Makassar Jadi Tersangka Kasus Terorisme,https://news.detik.com/berita/d-5588297/3-eks-petinggi-fpi-makassar-jadi-tersangka-kasus-terorisme,"
Senin, 31 Mei  2021 13:32 WIB "
Perlawanan 2 Terduga Teroris Makassar Lewat Praperadilan,https://news.detik.com/berita/d-5586128/perlawanan-2-terduga-teroris-makassar-lewat-praperadilan,"
Jumat, 28 Mei  2021 22:07 WIB "
LBH Muslim Akan Ajukan Praperadilan 2 Terduga Teroris Makassar Ditahan Polda,https://news.detik.com/berita/d-5585746/lbh-muslim-akan-ajukan-praperadilan-2-terduga-teroris-makassar-ditahan-polda,"
Jumat, 28 Mei  2021 17:24 WIB "
53 Teroris Jadi Tersangka Kasus Bom Gereja Katedral Makassar,https://news.detik.com/berita/d-5573160/53-teroris-jadi-tersangka-kasus-bom-gereja-katedral-makassar,"
Selasa, 18 Mei  2021 11:59 WIB "
Polri: Munarman Sudah Ditahan pada 7 Mei 2021,https://news.detik.com/berita/d-5572407/polri-munarman-sudah-ditahan-pada-7-mei-2021,"
Senin, 17 Mei  2021 17:43 WIB "
"Orasi di Gereja Dikafirkan, Gus Miftah: Tak Semudah itu Ferguso",https://news.detik.com/berita/d-5561226/orasi-di-gereja-dikafirkan-gus-miftah-tak-semudah-itu-ferguso,"
Jumat, 07 Mei  2021 06:48 WIB "
Buntut Panjang Kasus Munarman Bikin Eks Petinggi FPI Makassar Diusut,https://news.detik.com/berita/d-5559654/buntut-panjang-kasus-munarman-bikin-eks-petinggi-fpi-makassar-diusut,"
Kamis, 06 Mei  2021 04:40 WIB "
Polri Telusuri Kaitan Munarman dengan JAD Makassar,https://news.detik.com/berita/d-5559022/polri-telusuri-kaitan-munarman-dengan-jad-makassar,"
Rabu, 05 Mei  2021 16:51 WIB "
Densus Juga Dalami Kaitan 3 Eks Petinggi FPI Makassar dengan Bom Katedral,https://news.detik.com/berita/d-5558491/densus-juga-dalami-kaitan-3-eks-petinggi-fpi-makassar-dengan-bom-katedral,"
Rabu, 05 Mei  2021 11:46 WIB "
"Geledah Eks Markas FPI Sulsel, Ini 2 Hal yang Didalami Polisi",https://news.detik.com/berita/d-5557685/geledah-eks-markas-fpi-sulsel-ini-2-hal-yang-didalami-polisi,"
Selasa, 04 Mei  2021 18:17 WIB "
Densus 88 Geledah Eks Markas FPI di Makassar Terkait Terorisme,https://news.detik.com/berita/d-5557511/densus-88-geledah-eks-markas-fpi-di-makassar-terkait-terorisme,"
Selasa, 04 Mei  2021 16:57 WIB "
Penangkapan Munarman dan Geger Temuan Mother of Satan,https://news.detik.com/berita/d-5554355/penangkapan-munarman-dan-geger-temuan-mother-of-satan,"
Minggu, 02 Mei  2021 09:57 WIB "
Densus 88 Tangkap 99 Terduga Teroris Usai Bom Katedral Makassar,https://news.detik.com/berita/d-5552799/densus-88-tangkap-99-terduga-teroris-usai-bom-katedral-makassar,"
Jumat, 30 Apr 2021 17:32 WIB "
"Teroris Terkait Bom Makassar Ditangkap Jadi 52 Orang, 45 Pria 7 Wanita",https://news.detik.com/berita/d-5550761/teroris-terkait-bom-makassar-ditangkap-jadi-52-orang-45-pria-7-wanita,"
Kamis, 29 Apr 2021 12:28 WIB "
Melihat Aksi Polisi Tutup Mata Tersangka Teroris di Luar Negeri,https://news.detik.com/berita/d-5550658/melihat-aksi-polisi-tutup-mata-tersangka-teroris-di-luar-negeri,"
Kamis, 29 Apr 2021 10:20 WIB "
