title,url,date
9 Capaian Kapolri Transformasi Polri Dibeberkan di Senayan,https://news.detik.com/berita/d-6670320/9-capaian-kapolri-transformasi-polri-dibeberkan-di-senayan,"
Kamis, 13 Apr 2023 07:17 WIB "
Kapolri Beberkan Pelatihan Pengamanan Stadion Tindak Lanjut Kanjuruhan,https://news.detik.com/berita/d-6668680/kapolri-beberkan-pelatihan-pengamanan-stadion-tindak-lanjut-kanjuruhan,"
Rabu, 12 Apr 2023 11:41 WIB "
Kejagung Pelajari Aduan soal Pelanggaran HAM Berat di Tragedi Kanjuruhan,https://news.detik.com/berita/d-6668378/kejagung-pelajari-aduan-soal-pelanggaran-ham-berat-di-tragedi-kanjuruhan,"
Rabu, 12 Apr 2023 08:43 WIB "
"Merasa Diintimidasi, Korban Tragedi Kanjuruhan Minta Perlindungan LPSK",https://news.detik.com/berita/d-6667881/merasa-diintimidasi-korban-tragedi-kanjuruhan-minta-perlindungan-lpsk,"
Selasa, 11 Apr 2023 19:28 WIB "
Polri Tepis Tolak Laporan Korban Kanjuruhan: Proses Hukum Masih Jalan,https://news.detik.com/berita/d-6667879/polri-tepis-tolak-laporan-korban-kanjuruhan-proses-hukum-masih-jalan,"
Selasa, 11 Apr 2023 19:27 WIB "
Keluarga Korban Adukan Dugaan Pelanggaran HAM Berat Kanjuruhan ke Kejagung,https://news.detik.com/berita/d-6667753/keluarga-korban-adukan-dugaan-pelanggaran-ham-berat-kanjuruhan-ke-kejagung,"
Selasa, 11 Apr 2023 18:11 WIB "
"Dianggap Tak Cukup Bukti, Laporan Korban Kanjuruhan Ditolak Bareskrim",https://news.detik.com/berita/d-6665985/dianggap-tak-cukup-bukti-laporan-korban-kanjuruhan-ditolak-bareskrim,"
Senin, 10 Apr 2023 21:02 WIB "
dr Erwinn Gagas Bhayangkara Prioritas hingga Layanan Kesehatan Luar Biasa,https://news.detik.com/berita/d-6664853/dr-erwinn-gagas-bhayangkara-prioritas-hingga-layanan-kesehatan-luar-biasa,"
Senin, 10 Apr 2023 13:04 WIB "
Menpora Mau Kembangkan Sport Industry Ecosystem: Saya Belajar dari Kanjuruhan,https://news.detik.com/berita/d-6655593/menpora-mau-kembangkan-sport-industry-ecosystem-saya-belajar-dari-kanjuruhan,"
Selasa, 04 Apr 2023 16:35 WIB "
Donasi berbuatbaik.id Bantu Kuatkan Para Korban Tragedi Kanjuruhan,https://news.detik.com/berita/d-6654852/donasi-berbuatbaik-id-bantu-kuatkan-para-korban-tragedi-kanjuruhan,"
Selasa, 04 Apr 2023 12:18 WIB "
Informasi Intelijen dan Gagalnya Piala Dunia,https://news.detik.com/x/detail/spotlight/20230403/Informasi-Intelijen-dan-Gagalnya-Piala-Dunia/,"
Senin, 03 Apr 2023 15:57 WIB "
"RI Batal Jadi Host Pildun U-20, Jurnalis Inggris Beberkan Alasannya",https://news.detik.com/berita/d-6652821/ri-batal-jadi-host-pildun-u-20-jurnalis-inggris-beberkan-alasannya,"
Senin, 03 Apr 2023 13:13 WIB "
"Bola, Identitas dan Industri",https://news.detik.com/kolom/d-6649861/bola-identitas-dan-industri,"
Sabtu, 01 Apr 2023 16:26 WIB "
"Sebut FIFA Bersikap Diskriminatif, HNW Dorong Indonesia 'Melawan'",https://news.detik.com/berita/d-6647999/sebut-fifa-bersikap-diskriminatif-hnw-dorong-indonesia-melawan,"
Jumat, 31 Mar 2023 11:36 WIB "
Reaksi Ganjar hingga Koster Usai Piala Dunia U-20 Batal di Indonesia,https://news.detik.com/berita/d-6647658/reaksi-ganjar-hingga-koster-usai-piala-dunia-u-20-batal-di-indonesia,"
Jumat, 31 Mar 2023 07:59 WIB "
NasDem: RI Batal Tuan Rumah Piala Dunia U-20 Jadi Introspeksi,https://news.detik.com/berita/d-6647650/nasdem-ri-batal-tuan-rumah-piala-dunia-u-20-jadi-introspeksi,"
Jumat, 31 Mar 2023 07:43 WIB "
Fahri Hamzah Minta PSSI-Pemerintah Jelaskan Alasan FIFA Batalkan Pildun U-20 RI,https://news.detik.com/berita/d-6647083/fahri-hamzah-minta-pssi-pemerintah-jelaskan-alasan-fifa-batalkan-pildun-u-20-ri,"
Kamis, 30 Mar 2023 18:41 WIB "
PAN Tepis Anggapan Ganjar Antitesis Jokowi soal Piala Dunia U20,https://news.detik.com/pemilu/d-6646943/pan-tepis-anggapan-ganjar-antitesis-jokowi-soal-piala-dunia-u20,"
Kamis, 30 Mar 2023 17:36 WIB "
Bonong dan Riuh Bola Kebenaran,https://news.detik.com/kolom/d-6646883/bonong-dan-riuh-bola-kebenaran,"
Kamis, 30 Mar 2023 17:05 WIB "
Komisi X DPR: Pemain Timnas Gagal Dapat Pengalaman Lolos Piala Dunia,https://news.detik.com/berita/d-6646285/komisi-x-dpr-pemain-timnas-gagal-dapat-pengalaman-lolos-piala-dunia,"
Kamis, 30 Mar 2023 13:27 WIB "
4 Poin Respons Hasto PDIP soal Batalnya Piala Dunia U-20 di Indonesia,https://news.detik.com/berita/d-6646185/4-poin-respons-hasto-pdip-soal-batalnya-piala-dunia-u-20-di-indonesia,"
Kamis, 30 Mar 2023 12:52 WIB "
"Piala Dunia U-20 Batal di RI, PPP: FIFA Tak Sebut Israel tapi Kanjuruhan",https://news.detik.com/berita/d-6646049/piala-dunia-u-20-batal-di-ri-ppp-fifa-tak-sebut-israel-tapi-kanjuruhan,"
Kamis, 30 Mar 2023 11:58 WIB "
