title,url,date
"Dua Kapal Tanker Saudi Diserang, Trump Ultimatum Iran dan Houthi",https://news.detik.com/dw/d-8588843/dua-kapal-tanker-saudi-diserang-trump-ultimatum-iran-dan-houthi,"
Jumat, 24 Jul 2026 17:42 WIB "
Ahmad Luthfi Sampaikan Pesan Duka dan Perdamaian ke Dubes Iran,https://news.detik.com/bangun-indonesia/d-8585507/ahmad-luthfi-sampaikan-pesan-duka-dan-perdamaian-ke-dubes-iran,"
Rabu, 22 Jul 2026 16:30 WIB "
Balasan Keras Mojtaba Khamenei ke Trump Atas Klaim Tewas,https://news.detik.com/internasional/d-8581249/balasan-keras-mojtaba-khamenei-ke-trump-atas-klaim-tewas,"
Senin, 20 Jul 2026 06:01 WIB "
Kuwait Klaim Cegat Serangan Drone dari Iran,https://news.detik.com/internasional/d-8580676/kuwait-klaim-cegat-serangan-drone-dari-iran,"
Minggu, 19 Jul 2026 15:14 WIB "
Di Balik 'Propaganda Pembalasan' Rezim Iran,https://news.detik.com/dw/d-8578661/di-balik-propaganda-pembalasan-rezim-iran,"
Jumat, 17 Jul 2026 17:09 WIB "
Timur Tengah Terus Memanas Bikin Saudi Borong Senjata AS,https://news.detik.com/internasional/d-8577574/timur-tengah-terus-memanas-bikin-saudi-borong-senjata-as,"
Kamis, 16 Jul 2026 22:02 WIB "
"Timur Tengah Mendidih, Arab Saudi Akan Beli Senjata AS Rp 33 T",https://news.detik.com/internasional/d-8576677/timur-tengah-mendidih-arab-saudi-akan-beli-senjata-as-rp-33-t,"
Kamis, 16 Jul 2026 13:20 WIB "
Iran Pasang Billboard 'Trump dalam Peti Mati' di Teheran,https://news.detik.com/internasional/d-8576520/iran-pasang-billboard-trump-dalam-peti-mati-di-teheran,"
Kamis, 16 Jul 2026 12:15 WIB "
Jerman Waspadai Daftar Mati 13 Tokoh Dunia yang Dirilis Media Iran,https://news.detik.com/dw/d-8576288/jerman-waspadai-daftar-mati-13-tokoh-dunia-yang-dirilis-media-iran,"
Kamis, 16 Jul 2026 10:08 WIB "
Klaim Trump Bahwa Mojtaba Khamenei Sudah Tiada,https://news.detik.com/internasional/d-8574462/klaim-trump-bahwa-mojtaba-khamenei-sudah-tiada,"
Rabu, 15 Jul 2026 06:21 WIB "
Ketua MPR Muzani Ungkap Iran Mau Undang Prabowo ke Teheran,https://news.detik.com/berita/d-8573808/ketua-mpr-muzani-ungkap-iran-mau-undang-prabowo-ke-teheran,"
Selasa, 14 Jul 2026 16:23 WIB "
"Muzani Ungkap Obrolan dengan Ketua Parlemen Iran, Harap Perang Dihentikan",https://news.detik.com/berita/d-8573714/muzani-ungkap-obrolan-dengan-ketua-parlemen-iran-harap-perang-dihentikan,"
Selasa, 14 Jul 2026 15:43 WIB "
"Hadir di Pemakaman Khamenei, Muzani Ungkap Pesan Prabowo ke Pemerintah Iran",https://news.detik.com/berita/d-8573574/hadir-di-pemakaman-khamenei-muzani-ungkap-pesan-prabowo-ke-pemerintah-iran,"
Selasa, 14 Jul 2026 14:36 WIB "
Trump Bilang Pemimpin Tertinggi Iran Mojtaba Khamenei 90% Telah Tiada,https://news.detik.com/internasional/d-8573213/trump-bilang-pemimpin-tertinggi-iran-mojtaba-khamenei-90-telah-tiada,"
Selasa, 14 Jul 2026 11:45 WIB "
Nama Trump hingga Macron Masuk Daftar Pembalasan Versi Koran Iran,https://news.detik.com/internasional/d-8572859/nama-trump-hingga-macron-masuk-daftar-pembalasan-versi-koran-iran,"
Selasa, 14 Jul 2026 06:01 WIB "
"Megawati Terima Dubes Korsel dan UEA di Teuku Umar, Ini yang Dibahas",https://news.detik.com/berita/d-8572661/megawati-terima-dubes-korsel-dan-uea-di-teuku-umar-ini-yang-dibahas,"
Senin, 13 Jul 2026 20:10 WIB "
5 Berita Terpopuler Internasional Hari Ini,https://news.detik.com/internasional/d-8572479/5-berita-terpopuler-internasional-hari-ini,"
Senin, 13 Jul 2026 18:06 WIB "
Seberapa Berisiko Langkah Iran Gandakan Tekanan Lewat Hormuz?,https://news.detik.com/dw/d-8572449/seberapa-berisiko-langkah-iran-gandakan-tekanan-lewat-hormuz,"
Senin, 13 Jul 2026 17:50 WIB "
"Diduga Mojtaba, Sosok Misterius di Pemakaman Khamenei Terungkap",https://news.detik.com/internasional/d-8572325/diduga-mojtaba-sosok-misterius-di-pemakaman-khamenei-terungkap,"
Senin, 13 Jul 2026 16:54 WIB "
"Surat Kabar Iran Rilis Daftar Target Pembalasan, Ada Trump-Macron",https://news.detik.com/internasional/d-8571565/surat-kabar-iran-rilis-daftar-target-pembalasan-ada-trump-macron,"
Senin, 13 Jul 2026 11:16 WIB "
"Kapal Berisi WN India Diserang Saat Iran-AS Memanas, Kemlu India Mengecam",https://news.detik.com/internasional/d-8570742/kapal-berisi-wn-india-diserang-saat-iran-as-memanas-kemlu-india-mengecam,"
Minggu, 12 Jul 2026 16:34 WIB "
