title,url,date
KNKT: Hasil Investigasi Lampu Merah TKP Kecelakaan Cibubur 1-2 Bulan Lagi,https://news.detik.com/berita/d-6207834/knkt-hasil-investigasi-lampu-merah-tkp-kecelakaan-cibubur-1-2-bulan-lagi,"
Sabtu, 30 Jul 2022 19:02 WIB "
KNKT Selidiki Pemberian Izin Lampu Merah di TKP Kecelakaan Truk Pertamina,https://news.detik.com/berita/d-6207767/knkt-selidiki-pemberian-izin-lampu-merah-di-tkp-kecelakaan-truk-pertamina,"
Sabtu, 30 Jul 2022 18:09 WIB "
Memperluas Ruang Lingkup Regulasi Keselamatan Kerja,https://news.detik.com/kolom/d-6205213/memperluas-ruang-lingkup-regulasi-keselamatan-kerja,"
Jumat, 29 Jul 2022 10:40 WIB "
Kisah Iron Man Penolong Kecelakaan Truk Pertamina Hingga Dibantu RK,https://news.detik.com/berita/d-6196613/kisah-iron-man-penolong-kecelakaan-truk-pertamina-hingga-dibantu-rk,"
Minggu, 24 Jul 2022 20:50 WIB "
"Kini Jadi Hero, Iron Man CBD Dulu Adalah Teletubbies",https://news.detik.com/berita/d-6196336/kini-jadi-hero-iron-man-cbd-dulu-adalah-teletubbies,"
Minggu, 24 Jul 2022 17:11 WIB "
"RK Temui 'Iron Man' Penolong Kecelakaan Cibubur, Kasih Uang Rp 5 Juta",https://news.detik.com/berita/d-6196118/rk-temui-iron-man-penolong-kecelakaan-cibubur-kasih-uang-rp-5-juta,"
Minggu, 24 Jul 2022 15:04 WIB "
Kesaksian 'Iron Man' dan Misteri Lampu Merah CBD di Ujung Turunan,https://news.detik.com/berita/d-6196012/kesaksian-iron-man-dan-misteri-lampu-merah-cbd-di-ujung-turunan,"
Minggu, 24 Jul 2022 13:27 WIB "
Kala 'Iron Man' Beraksi Selamatkan Firas yang Terseret Truk Pertamina,https://news.detik.com/berita/d-6195939/kala-iron-man-beraksi-selamatkan-firas-yang-terseret-truk-pertamina,"
Minggu, 24 Jul 2022 12:33 WIB "
TKP Kecelakaan Maut Cibubur Akan Dipasangi Pita Kejut-Rambu Lalin Ditambah,https://news.detik.com/berita/d-6195038/tkp-kecelakaan-maut-cibubur-akan-dipasangi-pita-kejut-rambu-lalin-ditambah,"
Sabtu, 23 Jul 2022 17:29 WIB "
U-Turn di Pertigaan CBD TKP Kecelakaan Maut Cibubur Ditutup Permanen!,https://news.detik.com/berita/d-6194803/u-turn-di-pertigaan-cbd-tkp-kecelakaan-maut-cibubur-ditutup-permanen,"
Sabtu, 23 Jul 2022 14:04 WIB "
Akhir Kisah Lampu Merah di Lokasi Kecelakaan Maut Truk Pertamina,https://news.detik.com/berita/d-6194272/akhir-kisah-lampu-merah-di-lokasi-kecelakaan-maut-truk-pertamina,"
Sabtu, 23 Jul 2022 07:00 WIB "
Dishub Bungkam soal Kajian Pasang Lampu Merah di TKP Kecelakaan Maut Cibubur,https://news.detik.com/berita/d-6193538/dishub-bungkam-soal-kajian-pasang-lampu-merah-di-tkp-kecelakaan-maut-cibubur,"
Jumat, 22 Jul 2022 17:51 WIB "
8 Rekomendasi FGD Terkait Rekayasa Lalu Lintas di Pertigaan CBD Cibubur,https://news.detik.com/berita/d-6193324/8-rekomendasi-fgd-terkait-rekayasa-lalu-lintas-di-pertigaan-cbd-cibubur,"
Jumat, 22 Jul 2022 16:43 WIB "
Lampu Merah di Lokasi Kecelakaan Maut Cibubur Dinonaktifkan!,https://news.detik.com/berita/d-6193312/lampu-merah-di-lokasi-kecelakaan-maut-cibubur-dinonaktifkan,"
Jumat, 22 Jul 2022 16:39 WIB "
Iron Man Minta Lampu Merah di Lokasi Kecelakaan Truk Pertamina Ditutup!,https://news.detik.com/berita/d-6193238/iron-man-minta-lampu-merah-di-lokasi-kecelakaan-truk-pertamina-ditutup,"
Jumat, 22 Jul 2022 16:10 WIB "
Iron Man CBD: Kecelakaan Sering Terjadi Setelah Lampu Merah Dipasang,https://news.detik.com/berita/d-6193205/iron-man-cbd-kecelakaan-sering-terjadi-setelah-lampu-merah-dipasang,"
Jumat, 22 Jul 2022 15:56 WIB "
"Kurang dari 24 Jam, Jasa Raharja Santuni Korban Kecelakaan Maut Cibubur",https://news.detik.com/berita/d-6193048/kurang-dari-24-jam-jasa-raharja-santuni-korban-kecelakaan-maut-cibubur,"
Jumat, 22 Jul 2022 15:01 WIB "
