title,url,date
"Pelindo Sumbang Rp 1,63 M buat Keluarga 53 Prajurit KRI Nanggala 402",https://news.detik.com/berita/d-5585819/pelindo-sumbang-rp-1-63-m-buat-keluarga-53-prajurit-kri-nanggala-402,"
Jumat, 28 Mei  2021 18:13 WIB "
Anggota DPR Pertanyakan Status Connie Bakrie Sebagai Pengamat Pertahanan,https://news.detik.com/berita/d-5585322/anggota-dpr-pertanyakan-status-connie-bakrie-sebagai-pengamat-pertahanan,"
Jumat, 28 Mei  2021 12:59 WIB "
"Mayoritas Publik Minta Penguatan Alutsista, Kenapa?",https://news.detik.com/berita/d-5584235/mayoritas-publik-minta-penguatan-alutsista-kenapa,"
Kamis, 27 Mei  2021 14:52 WIB "
Keluarga Kru KRI Nanggala-402 di Gresik Dapat Surat Kendaraan dan SIM Gratis,https://news.detik.com/berita-jawa-timur/d-5581315/keluarga-kru-kri-nanggala-402-di-gresik-dapat-surat-kendaraan-dan-sim-gratis,"
Senin, 24 Mei  2021 22:21 WIB "
"Terima Telepon Menteri Teo, Ma'ruf Harap Kerja Sama RI-Singapura Makin Erat",https://news.detik.com/berita/d-5578292/terima-telepon-menteri-teo-maruf-harap-kerja-sama-ri-singapura-makin-erat,"
Sabtu, 22 Mei  2021 01:18 WIB "
Polisi Banyuwangi Beri SIM dan Duplikat STNK Gratis ke Keluarga KRI Nanggala,https://news.detik.com/berita-jawa-timur/d-5575999/polisi-banyuwangi-beri-sim-dan-duplikat-stnk-gratis-ke-keluarga-kri-nanggala,"
Kamis, 20 Mei  2021 11:19 WIB "
"Masterplan Alutsista Prabowo, Pengamat Nilai Jawaban Atas Dilema",https://news.detik.com/berita/d-5575318/masterplan-alutsista-prabowo-pengamat-nilai-jawaban-atas-dilema,"
Rabu, 19 Mei  2021 19:03 WIB "
5 Fakta Setelah Sebagian KRI Nanggala Diangkat ke Permukaan,https://news.detik.com/berita/d-5574307/5-fakta-setelah-sebagian-kri-nanggala-diangkat-ke-permukaan,"
Rabu, 19 Mei  2021 08:12 WIB "
Tanda Tanya soal Kawah Dekat Bodi KRI Nanggala,https://news.detik.com/berita/d-5574247/tanda-tanya-soal-kawah-dekat-bodi-kri-nanggala,"
Rabu, 19 Mei  2021 05:08 WIB "
"Tenggelam di Laut Bali, KRI Nanggala-402 Deformasi hingga Pecah",https://news.detik.com/berita/d-5574029/tenggelam-di-laut-bali-kri-nanggala-402-deformasi-hingga-pecah,"
Selasa, 18 Mei  2021 19:05 WIB "
TNI Bicara Kemungkinan Jasad Kru KRI Nanggala-402 Ada di Pressure Hull,https://news.detik.com/berita/d-5573717/tni-bicara-kemungkinan-jasad-kru-kri-nanggala-402-ada-di-pressure-hull,"
Selasa, 18 Mei  2021 17:11 WIB "
Gambaran Posisi Kawah Misterius dengan Haluan-Anjungan KRI Nanggala-402,https://news.detik.com/berita/d-5573500/gambaran-posisi-kawah-misterius-dengan-haluan-anjungan-kri-nanggala-402,"
Selasa, 18 Mei  2021 15:15 WIB "
Pressure Hull KRI Nanggala-402 Diduga Berada di Dekat Kawah Misterius,https://news.detik.com/berita/d-5573382/pressure-hull-kri-nanggala-402-diduga-berada-di-dekat-kawah-misterius,"
Selasa, 18 Mei  2021 14:07 WIB "
