title,url,date
4 Siswa Kecelakaan Bus Subang Masih Dirawat di RS Brimob,https://news.detik.com/berita/d-7366391/4-siswa-kecelakaan-bus-subang-masih-dirawat-di-rs-brimob,"
Kamis, 30 Mei  2024 22:56 WIB "
Ternyata Bus Maut Subang Pernah Terbakar di Km 88 Tol Cipularang!,https://news.detik.com/berita/d-7363374/ternyata-bus-maut-subang-pernah-terbakar-di-km-88-tol-cipularang,"
Rabu, 29 Mei  2024 14:24 WIB "
"Kecelakaan Maut Bus Subang, Polisi: Trans Putera Fajar PO Abal-abal!",https://news.detik.com/berita/d-7363100/kecelakaan-maut-bus-subang-polisi-trans-putera-fajar-po-abal-abal,"
Rabu, 29 Mei  2024 12:22 WIB "
Bobot Bus Maut Subang Tambah 1 Ton Usai Dimodif Tersangka,https://news.detik.com/berita/d-7362962/bobot-bus-maut-subang-tambah-1-ton-usai-dimodif-tersangka,"
Rabu, 29 Mei  2024 11:15 WIB "
Pemilik Bengkel yang Modifikasi Bus Maut Subang Ditetapkan Jadi Tersangka,https://news.detik.com/berita/d-7362424/pemilik-bengkel-yang-modifikasi-bus-maut-subang-ditetapkan-jadi-tersangka,"
Selasa, 28 Mei  2024 21:08 WIB "
Deretan Kecelakaan Bus Study Tour yang Tuai Usulan Larangan ke Luar Kota,https://news.detik.com/berita/d-7355045/deretan-kecelakaan-bus-study-tour-yang-tuai-usulan-larangan-ke-luar-kota,"
Kamis, 23 Mei  2024 19:16 WIB "
Pemprov Ajak GIPI Kelola Potensi Wisata di Jabar Secara Profesional,https://news.detik.com/berita/d-7346782/pemprov-ajak-gipi-kelola-potensi-wisata-di-jabar-secara-profesional,"
Sabtu, 18 Mei  2024 16:55 WIB "
"Sopir Bus Maut Subang Jadi Tersangka, Bey Yakin Polisi Profesional",https://news.detik.com/berita/d-7343386/sopir-bus-maut-subang-jadi-tersangka-bey-yakin-polisi-profesional,"
Kamis, 16 Mei  2024 15:31 WIB "
"Terjaring Razia di Bogor, Sejumlah Bus Kena Tilang karena Kir Mati",https://news.detik.com/berita/d-7342931/terjaring-razia-di-bogor-sejumlah-bus-kena-tilang-karena-kir-mati,"
Kamis, 16 Mei  2024 12:29 WIB "
Polisi Akan Panggil PO dan Karoseri Buntut Bus Maut Subang Jadi High Deck,https://news.detik.com/berita/d-7342884/polisi-akan-panggil-po-dan-karoseri-buntut-bus-maut-subang-jadi-high-deck,"
Kamis, 16 Mei  2024 12:07 WIB "
"Polisi: Sopir Bus Kecelakaan Maut Subang Bukan Karyawan PO, tapi Freelance",https://news.detik.com/berita/d-7342807/polisi-sopir-bus-kecelakaan-maut-subang-bukan-karyawan-po-tapi-freelance,"
Kamis, 16 Mei  2024 11:36 WIB "
Kebijakan untuk Kebajikan,https://news.detik.com/kolom/d-7342678/kebijakan-untuk-kebajikan,"
Kamis, 16 Mei  2024 10:28 WIB "
