title,url,date
Duduk Perkara Misteri 8 Jasad Korban Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7809208/duduk-perkara-misteri-8-jasad-korban-kebakaran-glodok-plaza,"
Kamis, 06 Mar 2025 07:00 WIB "
"RS Polri: 2 Korban Glodok Plaza Laki-laki, tapi Tak Ada Sampel DNA yang Cocok",https://news.detik.com/berita/d-7807956/rs-polri-2-korban-glodok-plaza-laki-laki-tapi-tak-ada-sampel-dna-yang-cocok,"
Rabu, 05 Mar 2025 13:34 WIB "
Alasan RS Polri Hentikan Identifikasi 8 Jenazah Korban Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7807898/alasan-rs-polri-hentikan-identifikasi-8-jenazah-korban-kebakaran-glodok-plaza,"
Rabu, 05 Mar 2025 13:08 WIB "
"Identifikasi Korban Kebakaran Glodok Plaza Disetop, 8 Jenazah Masih Misterius",https://news.detik.com/berita/d-7807887/identifikasi-korban-kebakaran-glodok-plaza-disetop-8-jenazah-masih-misterius,"
Rabu, 05 Mar 2025 13:05 WIB "
RS Polri Hentikan Proses Identifikasi Korban Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7807769/rs-polri-hentikan-proses-identifikasi-korban-kebakaran-glodok-plaza,"
Rabu, 05 Mar 2025 12:14 WIB "
Pelanggan Minta Glodok Plaza Segera Diperbaiki: Biar Tak Waswas,https://news.detik.com/berita/d-7796309/pelanggan-minta-glodok-plaza-segera-diperbaiki-biar-tak-waswas,"
Rabu, 26 Feb 2025 13:10 WIB "
Curhat Pedagang di Glodok Plaza Usai Kebakaran: Sehari Cuma 3 Pembeli,https://news.detik.com/berita/d-7796208/curhat-pedagang-di-glodok-plaza-usai-kebakaran-sehari-cuma-3-pembeli,"
Rabu, 26 Feb 2025 12:12 WIB "
Glodok Plaza Hidup Lagi Usai Tragedi,https://news.detik.com/berita/d-7793860/glodok-plaza-hidup-lagi-usai-tragedi,"
Senin, 24 Feb 2025 20:39 WIB "
Pedagang di Glodok Plaza Merasa Pemasukan Berkurang Usai Kebakaran,https://news.detik.com/berita/d-7793396/pedagang-di-glodok-plaza-merasa-pemasukan-berkurang-usai-kebakaran,"
Senin, 24 Feb 2025 16:53 WIB "
Kondisi Glodok Plaza Usai Dibuka Lagi Pascakebakaran: AC hingga Lift Mati,https://news.detik.com/berita/d-7793061/kondisi-glodok-plaza-usai-dibuka-lagi-pascakebakaran-ac-hingga-lift-mati,"
Senin, 24 Feb 2025 14:31 WIB "
"Sejumlah Toko di Glodok Plaza Buka Lagi Usai Kebakaran, Begini Suasananya",https://news.detik.com/berita/d-7792640/sejumlah-toko-di-glodok-plaza-buka-lagi-usai-kebakaran-begini-suasananya,"
Senin, 24 Feb 2025 11:24 WIB "
"8 Jasad dari Kebakaran Glodok Plaza Belum Teridentifikasi, Ini Kendalanya",https://news.detik.com/berita/d-7790120/8-jasad-dari-kebakaran-glodok-plaza-belum-teridentifikasi-ini-kendalanya,"
Sabtu, 22 Feb 2025 07:15 WIB "
3 Fakta Usai Terungkapnya Penyebab Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7790088/3-fakta-usai-terungkapnya-penyebab-kebakaran-glodok-plaza,"
Sabtu, 22 Feb 2025 06:33 WIB "
"Penyisiran Korban Dihentikan, Lantai 1 dan 2 Glodok Plaza Diizinkan Buka",https://news.detik.com/berita/d-7788960/penyisiran-korban-dihentikan-lantai-1-dan-2-glodok-plaza-diizinkan-buka,"
Jumat, 21 Feb 2025 13:14 WIB "
Polisi Olah TKP Kebakaran Glodok Plaza Usai Proses Pembersihan,https://news.detik.com/berita/d-7788905/polisi-olah-tkp-kebakaran-glodok-plaza-usai-proses-pembersihan,"
Jumat, 21 Feb 2025 12:52 WIB "
RS Polri Temukan Tas hingga Kacamata Korban di TKP Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7788861/rs-polri-temukan-tas-hingga-kacamata-korban-di-tkp-kebakaran-glodok-plaza,"
Jumat, 21 Feb 2025 12:26 WIB "
Proses Pencarian Korban Kebakaran Glodok Plaza Ditutup,https://news.detik.com/berita/d-7788853/proses-pencarian-korban-kebakaran-glodok-plaza-ditutup,"
Jumat, 21 Feb 2025 12:17 WIB "
Penyebab Kebakaran Glodok Plaza Terungkap: Korsleting Listrik Videotron,https://news.detik.com/berita/d-7788810/penyebab-kebakaran-glodok-plaza-terungkap-korsleting-listrik-videotron,"
Jumat, 21 Feb 2025 11:42 WIB "
RS Polri Kembali Cari Body Part Korban Kebakaran Glodok Plaza,https://news.detik.com/berita/d-7788553/rs-polri-kembali-cari-body-part-korban-kebakaran-glodok-plaza,"
Jumat, 21 Feb 2025 09:31 WIB "
