title,url,date
Kemenag Salurkan Dana Rehab Rp 610 Juta ke Ponpes Al Khoziny Sidoarjo,https://news.detik.com/berita/d-8195946/kemenag-salurkan-dana-rehab-rp-610-juta-ke-ponpes-al-khoziny-sidoarjo,"
Rabu, 05 Nov 2025 17:40 WIB "
Kemenko PM Akan Paparkan Capaian Setahun Kinerja dari Lintas Kementerian,https://news.detik.com/berita/d-8181285/kemenko-pm-akan-paparkan-capaian-setahun-kinerja-dari-lintas-kementerian,"
Senin, 27 Okt 2025 21:38 WIB "
"Istana Jelaskan Alasan Ditjen Pesantren Dibentuk, Singgung Kasus Al Khoziny",https://news.detik.com/berita/d-8173621/istana-jelaskan-alasan-ditjen-pesantren-dibentuk-singgung-kasus-al-khoziny,"
Rabu, 22 Okt 2025 18:28 WIB "
Menatap Masa Depan Pesantren,https://news.detik.com/kolom/d-8173220/menatap-masa-depan-pesantren,"
Rabu, 22 Okt 2025 15:21 WIB "
Kemensos Beri Santunan-Paket Sembako ke Korban Ponpes Al-Khoziny,https://news.detik.com/berita/d-8167624/kemensos-beri-santunan-paket-sembako-ke-korban-ponpes-al-khoziny,"
Minggu, 19 Okt 2025 09:43 WIB "
Ketua Fraksi PKB MPR Apresiasi Prabowo Teken Perjanjian Perdamaian Gaza,https://news.detik.com/berita/d-8164383/ketua-fraksi-pkb-mpr-apresiasi-prabowo-teken-perjanjian-perdamaian-gaza,"
Kamis, 16 Okt 2025 20:07 WIB "
"Atalia Praratya Sowan ke Ketua PCNU Bandung, Dukung Anggaran Pesantren",https://news.detik.com/berita/d-8163494/atalia-praratya-sowan-ke-ketua-pcnu-bandung-dukung-anggaran-pesantren,"
Kamis, 16 Okt 2025 13:56 WIB "
Daftar Lengkap Identitas 63 Jenazah Korban Tewas Ponpes Al Khoziny Ambruk,https://news.detik.com/berita/d-8162710/daftar-lengkap-identitas-63-jenazah-korban-tewas-ponpes-al-khoziny-ambruk,"
Rabu, 15 Okt 2025 22:18 WIB "
"63 Jasad Dikenali, Identifikasi Semua Korban Ponpes Al Khoziny Ambruk Tuntas",https://news.detik.com/berita/d-8162563/63-jasad-dikenali-identifikasi-semua-korban-ponpes-al-khoziny-ambruk-tuntas,"
Rabu, 15 Okt 2025 20:18 WIB "
1 Body Part Teridentifikasi Milik Korban Ponpes Al Khoziny yang Selamat,https://news.detik.com/berita/d-8161684/1-body-part-teridentifikasi-milik-korban-ponpes-al-khoziny-yang-selamat,"
Rabu, 15 Okt 2025 12:57 WIB "
Ketua DPD Minta Pembangunan Ponpes Al-Khoziny Pakai APBN Tak Dipersoalkan,https://news.detik.com/berita/d-8161612/ketua-dpd-minta-pembangunan-ponpes-al-khoziny-pakai-apbn-tak-dipersoalkan,"
Rabu, 15 Okt 2025 12:26 WIB "
"58 Jenazah Korban Ponpes Al Khoziny Teridentifikasi, Ini Identitasnya",https://news.detik.com/berita/d-8161105/58-jenazah-korban-ponpes-al-khoziny-teridentifikasi-ini-identitasnya,"
Rabu, 15 Okt 2025 03:59 WIB "
Sejumlah Orang Demo di Rumah RK Buntut Ucapan Atalia soal Ponpes Al Khoziny,https://news.detik.com/berita/d-8160661/sejumlah-orang-demo-di-rumah-rk-buntut-ucapan-atalia-soal-ponpes-al-khoziny,"
Selasa, 14 Okt 2025 17:50 WIB "
Cak Imin Cerita Ada Kiai Bersyukur Anaknya Meninggal Saat Salat di Al Khoziny,https://news.detik.com/berita/d-8160443/cak-imin-cerita-ada-kiai-bersyukur-anaknya-meninggal-saat-salat-di-al-khoziny,"
Selasa, 14 Okt 2025 16:25 WIB "
Menag Ungkap Tambahan Anggaran dari Prabowo untuk Perhatikan Madrasah,https://news.detik.com/berita/d-8160102/menag-ungkap-tambahan-anggaran-dari-prabowo-untuk-perhatikan-madrasah,"
Selasa, 14 Okt 2025 14:16 WIB "
"Prihatin Ponpes Al Khoziny Ambruk, HNW Dukung Pembentukan Ditjen Pesantren",https://news.detik.com/berita/d-8160001/prihatin-ponpes-al-khoziny-ambruk-hnw-dukung-pembentukan-ditjen-pesantren,"
Selasa, 14 Okt 2025 13:33 WIB "
