title,url,date
Direktur Komunikasi i2: Tahun 2023 Tahun Terbaik untuk Polri,https://news.detik.com/berita/d-7110815/direktur-komunikasi-i2-tahun-2023-tahun-terbaik-untuk-polri,"
Rabu, 27 Des 2023 13:47 WIB "
"Putri Candrawathi Dapat Remisi Natal 1 Bulan, Ini Respons Keluarga Yosua",https://news.detik.com/berita/d-7110302/putri-candrawathi-dapat-remisi-natal-1-bulan-ini-respons-keluarga-yosua,"
Rabu, 27 Des 2023 09:50 WIB "
Beda Nasib Ferdy Sambo dan Putri Candrawathi soal Remisi Natal,https://news.detik.com/berita/d-7110159/beda-nasib-ferdy-sambo-dan-putri-candrawathi-soal-remisi-natal,"
Rabu, 27 Des 2023 07:06 WIB "
"Dipenjara Seumur Hidup, Ferdy Sambo Tak Dapat Remisi Natal",https://news.detik.com/berita/d-7109240/dipenjara-seumur-hidup-ferdy-sambo-tak-dapat-remisi-natal,"
Selasa, 26 Des 2023 13:22 WIB "
Putri Candrawathi Istri Sambo Dapat Remisi Khusus Natal,https://news.detik.com/berita/d-7108871/putri-candrawathi-istri-sambo-dapat-remisi-khusus-natal,"
Selasa, 26 Des 2023 08:26 WIB "
Mahfud Cerita Prestasi LPSK Lindungi Eliezer di Kasus Ferdy Sambo,https://news.detik.com/pemilu/d-7099339/mahfud-cerita-prestasi-lpsk-lindungi-eliezer-di-kasus-ferdy-sambo,"
Rabu, 20 Des 2023 11:51 WIB "
Mahfud Ditanya Mahasiswa soal Aparat Represif: Yang Demo Juga Anarkis,https://news.detik.com/pemilu/d-7095109/mahfud-ditanya-mahasiswa-soal-aparat-represif-yang-demo-juga-anarkis,"
Senin, 18 Des 2023 01:29 WIB "
Pengacara Sesalkan LPSK Tolak Perlindungan SYL: Kenapa Seperti Itu?,https://news.detik.com/berita/d-7064022/pengacara-sesalkan-lpsk-tolak-perlindungan-syl-kenapa-seperti-itu,"
Kamis, 30 Nov 2023 09:52 WIB "
"SEMMI: Polri Netral, Tapi Seperti Ada yang Sengaja Ingin Merusak Citranya",https://news.detik.com/berita/d-7060909/semmi-polri-netral-tapi-seperti-ada-yang-sengaja-ingin-merusak-citranya,"
Selasa, 28 Nov 2023 14:53 WIB "
"Cerita 'Pak RT' Ronny Talapessy, Pendekar Hukum yang Kini Jadi Caleg PDIP",https://news.detik.com/pemilu/d-7048332/cerita-pak-rt-ronny-talapessy-pendekar-hukum-yang-kini-jadi-caleg-pdip,"
Selasa, 21 Nov 2023 12:07 WIB "
