title,url,date
(Tak) Berpuas Diri dengan Hasil Survei,https://news.detik.com/kolom/d-6487052/tak-berpuas-diri-dengan-hasil-survei,"
Kamis, 29 Des 2022 11:06 WIB "
"Kembangkan Kasus Korupsi Bansos COVID, KPK Masih Hitung Kerugian Negara",https://news.detik.com/berita/d-6472309/kembangkan-kasus-korupsi-bansos-covid-kpk-masih-hitung-kerugian-negara,"
Selasa, 20 Des 2022 19:14 WIB "
"KPK Bicara Koreksi Pemanggilan Saksi, Singgung soal Effendi Gazali",https://news.detik.com/berita/d-6430768/kpk-bicara-koreksi-pemanggilan-saksi-singgung-soal-effendi-gazali,"
Senin, 28 Nov 2022 14:03 WIB "
BLT Bukan Solusi,https://news.detik.com/kolom/d-6298724/blt-bukan-solusi,"
Senin, 19 Sep 2022 11:30 WIB "
"KPK Setor Rp 16,2 M ke Kas Negara Terkait Kasus Bansos COVID Juliari dkk",https://news.detik.com/berita/d-6259994/kpk-setor-rp-16-2-m-ke-kas-negara-terkait-kasus-bansos-covid-juliari-dkk,"
Senin, 29 Agu 2022 11:42 WIB "
"Dicicil 3 Kali, Juliari Batubara Lunasi Uang Pengganti Rp 14,5 M ke Negara",https://news.detik.com/berita/d-6209655/dicicil-3-kali-juliari-batubara-lunasi-uang-pengganti-rp-14-5-m-ke-negara,"
Senin, 01 Agu 2022 11:32 WIB "
KPK Apresiasi Putusan MA Cabut Hak Politik Eks Bupati Aa Umbara,https://news.detik.com/berita/d-6181325/kpk-apresiasi-putusan-ma-cabut-hak-politik-eks-bupati-aa-umbara,"
Jumat, 15 Jul 2022 17:46 WIB "
MA Cabut Hak Politik Eks Bupati Aa Umbara karena Korupsi Bansos COVID,https://news.detik.com/berita/d-6180111/ma-cabut-hak-politik-eks-bupati-aa-umbara-karena-korupsi-bansos-covid,"
Jumat, 15 Jul 2022 08:31 WIB "
"Mitsuhiro Taniguchi Dideportasi, Jepang Apresiasi Imigrasi RI",https://news.detik.com/berita/d-6144241/mitsuhiro-taniguchi-dideportasi-jepang-apresiasi-imigrasi-ri,"
Jumat, 24 Jun 2022 08:40 WIB "
"Nggak Diajak Kerja Sama 2024, Demokrat Sebut PDIP Perampok Wong Cilik",https://news.detik.com/berita/d-6143006/nggak-diajak-kerja-sama-2024-demokrat-sebut-pdip-perampok-wong-cilik,"
Kamis, 23 Jun 2022 14:58 WIB "
Polri Kawal Deportasi Buron Mitsuhiro Taniguchi ke Jepang,https://news.detik.com/berita/d-6140392/polri-kawal-deportasi-buron-mitsuhiro-taniguchi-ke-jepang,"
Rabu, 22 Jun 2022 10:44 WIB "
Buron Mitsuhiro Taniguchi Dideportasi ke Jepang!,https://news.detik.com/berita/d-6140118/buron-mitsuhiro-taniguchi-dideportasi-ke-jepang,"
Rabu, 22 Jun 2022 05:57 WIB "
WN Jepang Buron Mitsuhiro Taniguchi Dideportasi Subuh Nanti,https://news.detik.com/berita/d-6140042/wn-jepang-buron-mitsuhiro-taniguchi-dideportasi-subuh-nanti,"
Rabu, 22 Jun 2022 00:24 WIB "
Kabar Anyar WN Jepang Buron Mitsuhiro Taniguchi Ditangkap di RI,https://news.detik.com/berita/d-6124074/kabar-anyar-wn-jepang-buron-mitsuhiro-taniguchi-ditangkap-di-ri,"
Senin, 13 Jun 2022 08:03 WIB "
Saat Juliari Menderita Dihina dan Kerja Baik Edhy Bikin Vonis Disunat,https://news.detik.com/berita/d-5975498/saat-juliari-menderita-dihina-dan-kerja-baik-edhy-bikin-vonis-disunat,"
Rabu, 09 Mar 2022 16:32 WIB "
Hakim Pengadilan Tinggi Bandung Kuatkan Vonis 5 Tahun Aa Umbara,https://news.detik.com/berita-jawa-barat/d-5918464/hakim-pengadilan-tinggi-bandung-kuatkan-vonis-5-tahun-aa-umbara,"
Jumat, 28 Jan 2022 13:37 WIB "
KPK Setor Rp 486 Juta ke Kas Negara dari Eks PPK Kasus Bansos Corona,https://news.detik.com/berita/d-5908357/kpk-setor-rp-486-juta-ke-kas-negara-dari-eks-ppk-kasus-bansos-corona,"
Jumat, 21 Jan 2022 14:17 WIB "
Senior PDIP Ungkap Sosok Benalu Pandemi yang Disinggung Megawati-Hasto,https://news.detik.com/berita/d-5892458/senior-pdip-ungkap-sosok-benalu-pandemi-yang-disinggung-megawati-hasto,"
Selasa, 11 Jan 2022 06:33 WIB "
