title,url,date
"Eks Anggota BPK Achsanul Qosasi Tetap Dibui 2,5 Tahun Usai Kasasi Ditolak",https://news.detik.com/berita/d-7647730/eks-anggota-bpk-achsanul-qosasi-tetap-dibui-2-5-tahun-usai-kasasi-ditolak,"
Rabu, 20 Nov 2024 13:19 WIB "
Andre Rosiade Apresiasi Telkom Group Bantu Atasi Blank Spot di Sumbar,https://news.detik.com/berita/d-7636025/andre-rosiade-apresiasi-telkom-group-bantu-atasi-blank-spot-di-sumbar,"
Rabu, 13 Nov 2024 11:18 WIB "
Bakti Kominfo Raih GCG Awards dari Kejagung Kategori Best Transition Leader,https://news.detik.com/berita/d-7590055/bakti-kominfo-raih-gcg-awards-dari-kejagung-kategori-best-transition-leader,"
Rabu, 16 Okt 2024 09:39 WIB "
"Dipimpin Burhanuddin, Kejagung Dinilai Punya Keberanian Ungkap Kasus Besar",https://news.detik.com/berita/d-7589189/dipimpin-burhanuddin-kejagung-dinilai-punya-keberanian-ungkap-kasus-besar,"
Selasa, 15 Okt 2024 16:16 WIB "
Jaksa Agung ST Burhanuddin Bangun Legacy Bongkar Korupsi Besar,https://news.detik.com/berita/d-7583187/jaksa-agung-st-burhanuddin-bangun-legacy-bongkar-korupsi-besar,"
Jumat, 11 Okt 2024 14:23 WIB "
Sandra Dewi Nangis di Sidang: Saya Bilang ke Anak-anak Ayahnya Wamil,https://news.detik.com/berita/d-7581737/sandra-dewi-nangis-di-sidang-saya-bilang-ke-anak-anak-ayahnya-wamil,"
Kamis, 10 Okt 2024 16:47 WIB "
3 Eks Anak Buah Johnny Plate Divonis 3 hingga 6 Tahun Penjara,https://news.detik.com/berita/d-7474768/3-eks-anak-buah-johnny-plate-divonis-3-hingga-6-tahun-penjara,"
Senin, 05 Agu 2024 17:54 WIB "
Jemy Sutjiawan Divonis 3 Tahun Penjara di Kasus Korupsi BTS,https://news.detik.com/berita/d-7465364/jemy-sutjiawan-divonis-3-tahun-penjara-di-kasus-korupsi-bts,"
Selasa, 30 Jul 2024 20:22 WIB "
MA Sunat Vonis 18 Tahun Eks Dirut Bakti Kominfo Jadi 10 Tahun Penjara,https://news.detik.com/berita/d-7458923/ma-sunat-vonis-18-tahun-eks-dirut-bakti-kominfo-jadi-10-tahun-penjara,"
Jumat, 26 Jul 2024 17:32 WIB "
Sidang Vonis Jemy Sutjiawan di Kasus Korupsi BTS Digelar 30 Juli,https://news.detik.com/berita/d-7456994/sidang-vonis-jemy-sutjiawan-di-kasus-korupsi-bts-digelar-30-juli,"
Kamis, 25 Jul 2024 16:16 WIB "
"Baca Replik, Jaksa Ingin Jemy Sutjiawan Tetap Divonis 4 Tahun Bui di Kasus BTS",https://news.detik.com/berita/d-7455043/baca-replik-jaksa-ingin-jemy-sutjiawan-tetap-divonis-4-tahun-bui-di-kasus-bts,"
Rabu, 24 Jul 2024 15:51 WIB "
"Jemy Sutjiawan Minta Dibebaskan di Kasus BTS, Klaim Tak Pernah Beri Suap",https://news.detik.com/berita/d-7453335/jemy-sutjiawan-minta-dibebaskan-di-kasus-bts-klaim-tak-pernah-beri-suap,"
Selasa, 23 Jul 2024 16:45 WIB "
3 Anak Buah Johnny Plate Dituntut 4-7 Tahun Penjara di Kasus Korupsi BTS,https://news.detik.com/berita/d-7445408/3-anak-buah-johnny-plate-dituntut-4-7-tahun-penjara-di-kasus-korupsi-bts,"
Kamis, 18 Jul 2024 16:05 WIB "
Jemy Sutjiawan Dituntut 4 Tahun Penjara di Kasus Korupsi Proyek BTS,https://news.detik.com/berita/d-7441581/jemy-sutjiawan-dituntut-4-tahun-penjara-di-kasus-korupsi-proyek-bts,"
Selasa, 16 Jul 2024 15:32 WIB "
"Sidang Tuntutan Terdakwa Kasus BTS Ditunda Lagi, Hakim Sentil Jaksa",https://news.detik.com/berita/d-7435935/sidang-tuntutan-terdakwa-kasus-bts-ditunda-lagi-hakim-sentil-jaksa,"
Jumat, 12 Jul 2024 16:49 WIB "
MA Tolak Kasasi Johnny Plate: Vonis Tetap 15 Tahun-Land Rover Dirampas,https://news.detik.com/berita/d-7430772/ma-tolak-kasasi-johnny-plate-vonis-tetap-15-tahun-land-rover-dirampas,"
Selasa, 09 Jul 2024 17:32 WIB "
"Jaksa Belum Siap, Sidang Tuntutan Terdakwa Kasus BTS Ditunda",https://news.detik.com/berita/d-7430423/jaksa-belum-siap-sidang-tuntutan-terdakwa-kasus-bts-ditunda,"
Selasa, 09 Jul 2024 15:29 WIB "
"Raih Adhyaksa Awards, Kuntadi: Jadi Penyemangat Ungkap Kejahatan Korupsi",https://news.detik.com/berita/d-7425353/raih-adhyaksa-awards-kuntadi-jadi-penyemangat-ungkap-kejahatan-korupsi,"
Jumat, 05 Jul 2024 23:08 WIB "
Kuntadi Raih Adhyaksa Awards 2024 Kategori Jaksa Tangguh Pemberantas Korupsi,https://news.detik.com/berita/d-7425247/kuntadi-raih-adhyaksa-awards-2024-kategori-jaksa-tangguh-pemberantas-korupsi,"
Jumat, 05 Jul 2024 21:32 WIB "
