title,url,date
Akhir Cerita Mario Dandy di Perkara Cabuli Eks Pacar,https://news.detik.com/berita/d-8226959/akhir-cerita-mario-dandy-di-perkara-cabuli-eks-pacar,"
Selasa, 25 Nov 2025 07:15 WIB "
Total Hukuman Mario Dandy: 18 Tahun Penjara dari 2 Perkara,https://news.detik.com/berita/d-8226427/total-hukuman-mario-dandy-18-tahun-penjara-dari-2-perkara,"
Senin, 24 Nov 2025 18:01 WIB "
Mario Dandy Juga Dihukum Bayar Rp 1 M di Kasus Pencabulan,https://news.detik.com/berita/d-8226186/mario-dandy-juga-dihukum-bayar-rp-1-m-di-kasus-pencabulan,"
Senin, 24 Nov 2025 16:38 WIB "
"Kasasi Ditolak, Mario Dandy Dihukum 6 Tahun Bui di Kasus Pencabulan Eks Pacar",https://news.detik.com/berita/d-8226158/kasasi-ditolak-mario-dandy-dihukum-6-tahun-bui-di-kasus-pencabulan-eks-pacar,"
Senin, 24 Nov 2025 16:19 WIB "
MA Tolak Kasasi Mario Dandy di Kasus Pencabulan Mantan Pacar,https://news.detik.com/berita/d-8225565/ma-tolak-kasasi-mario-dandy-di-kasus-pencabulan-mantan-pacar,"
Senin, 24 Nov 2025 12:03 WIB "
Tragedi Era Digital,https://news.detik.com/kolom/d-8150784/tragedi-era-digital,"
Rabu, 08 Okt 2025 13:29 WIB "
Mario Dandy Juga Dapat Remisi HUT Ke-80 RI,https://news.detik.com/berita/d-8067277/mario-dandy-juga-dapat-remisi-hut-ke-80-ri,"
Senin, 18 Agu 2025 16:49 WIB "
"Banyak yang Pacaran di KP3B Serang, Pintu Gerbang Ditutup Jam 8 Malam",https://news.detik.com/berita/d-8028441/banyak-yang-pacaran-di-kp3b-serang-pintu-gerbang-ditutup-jam-8-malam,"
Jumat, 25 Jul 2025 10:53 WIB "
"3 Moge Milik Rafael Alun-Eko Darmanto Dilelang, Begini Penampakannya",https://news.detik.com/berita/d-7798122/3-moge-milik-rafael-alun-eko-darmanto-dilelang-begini-penampakannya,"
Kamis, 27 Feb 2025 13:19 WIB "
Mario Dandy Bungkam Usai Sidang Terkait Pencabulan Eks Pacar,https://news.detik.com/berita/d-7797198/mario-dandy-bungkam-usai-sidang-terkait-pencabulan-eks-pacar,"
Rabu, 26 Feb 2025 19:12 WIB "
"Tampil Beda, Mario Dandy Hadir Sidang Terkait Pencabulan Eks Pacar",https://news.detik.com/berita/d-7796898/tampil-beda-mario-dandy-hadir-sidang-terkait-pencabulan-eks-pacar,"
Rabu, 26 Feb 2025 17:02 WIB "
