title,url,date
Ketua MPR Minta Ponpes Evaluasi Sistem untuk Hapus Kasus Kekerasan,https://news.detik.com/berita/d-8649695/ketua-mpr-minta-ponpes-evaluasi-sistem-untuk-hapus-kasus-kekerasan,"Sabtu, 05 Sep 2026 14:34 WIB"
Waka Komisi IX DPR Minta BGN Ubah Sistem MBG ke Dapur Berbasis Sekolah,https://news.detik.com/berita/d-8648899/waka-komisi-ix-dpr-minta-bgn-ubah-sistem-mbg-ke-dapur-berbasis-sekolah,"Jumat, 04 Sep 2026 18:45 WIB"
SPPG Disetop Sementara Buntut 750 Siswa-Guru SMAN 1 Lasem Rembang Diare Massal,https://news.detik.com/berita/d-8648776/sppg-disetop-sementara-buntut-750-siswa-guru-sman-1-lasem-rembang-diare-massal,"Jumat, 04 Sep 2026 17:32 WIB"
BGN Copot Kepala SPPG Kalitengah Sidoarjo Usai 730 Santri Keracunan MBG,https://news.detik.com/berita/d-8648403/bgn-copot-kepala-sppg-kalitengah-sidoarjo-usai-730-santri-keracunan-mbg,"Jumat, 04 Sep 2026 14:42 WIB"
"Bertambah, Korban Keracunan MBG di Sidoarjo Jadi 730 Orang",https://news.detik.com/berita/d-8648383/bertambah-korban-keracunan-mbg-di-sidoarjo-jadi-730-orang,"Jumat, 04 Sep 2026 14:34 WIB"
"Keracunan Terulang, HNW Desak Evaluasi Menyeluruh MBG & Sanksi Hukum Keras",https://news.detik.com/berita/d-8648372/keracunan-terulang-hnw-desak-evaluasi-menyeluruh-mbg-sanksi-hukum-keras,"Jumat, 04 Sep 2026 14:26 WIB"
Anggota DPR Harap Insentif SPPG Tak Dihitung Hanya dari Jumlah Porsi MBG,https://news.detik.com/berita/d-8648283/anggota-dpr-harap-insentif-sppg-tak-dihitung-hanya-dari-jumlah-porsi-mbg,"Jumat, 04 Sep 2026 13:33 WIB"
"Kasus Keracunan MBG Sidoarjo, Zulhas: Pecat kalau Sengaja",https://news.detik.com/berita/d-8648191/kasus-keracunan-mbg-sidoarjo-zulhas-pecat-kalau-sengaja,"Jumat, 04 Sep 2026 12:56 WIB"
Komisi IX DPR Minta Satgas Dibentuk Buntut Kasus Keracunan MBG,https://news.detik.com/berita/d-8647920/komisi-ix-dpr-minta-satgas-dibentuk-buntut-kasus-keracunan-mbg,"Jumat, 04 Sep 2026 10:21 WIB"
"256 Siswa-Guru SMPN di Jombang Diduga Keracunan MBG, Sampel Menu Diuji Lab",https://news.detik.com/berita/d-8647702/256-siswa-guru-smpn-di-jombang-diduga-keracunan-mbg-sampel-menu-diuji-lab,"Jumat, 04 Sep 2026 07:21 WIB"
NasDem Minta BGN Putus Kontrak SPPG yang Kerap Bermasalah,https://news.detik.com/berita/d-8647694/nasdem-minta-bgn-putus-kontrak-sppg-yang-kerap-bermasalah,"Jumat, 04 Sep 2026 07:10 WIB"
Zulhas Dorong Proses Hukum Jika Ada Pelanggaran dalam Kasus MBG Sidoarjo,https://news.detik.com/berita/d-8647687/zulhas-dorong-proses-hukum-jika-ada-pelanggaran-dalam-kasus-mbg-sidoarjo,"Jumat, 04 Sep 2026 06:59 WIB"
Kepala BGN Pastikan Aparat Selidiki SPPG Penyebab Keracunan MBG,https://news.detik.com/berita/d-8647620/kepala-bgn-pastikan-aparat-selidiki-sppg-penyebab-keracunan-mbg,"Jumat, 04 Sep 2026 02:15 WIB"
